,size,FCTX,PUTM
FCTX_black,808,NA,19
FCTX_blue,1816,NA,17
FCTX_brown,960,NA,5
FCTX_cyan,586,NA,3
FCTX_darkgreen,634,NA,6
FCTX_darkred,1377,NA,2
FCTX_darkturquoise,550,NA,10
FCTX_green,751,NA,16
FCTX_greenyellow,646,NA,24
FCTX_grey60,468,NA,1
FCTX_lightcyan,601,NA,13
FCTX_lightgreen,707,NA,15
FCTX_lightyellow,669,NA,21
FCTX_magenta,785,NA,9
FCTX_midnightblue,598,NA,8
FCTX_pink,719,NA,15
FCTX_purple,635,NA,18
FCTX_red,877,NA,12
FCTX_royalblue,561,NA,19
FCTX_salmon,560,NA,17
FCTX_tan,580,NA,20
FCTX_turquoise,2545,NA,4
FCTX_yellow,719,NA,9
PUTM_black,867,5,NA
PUTM_blue,1028,18,NA
PUTM_brown,1090,12,NA
PUTM_cyan,524,17,NA
PUTM_green,725,4,NA
PUTM_greenyellow,362,9,NA
PUTM_grey60,794,15,NA
PUTM_lightcyan,736,8,NA
PUTM_lightgreen,849,11,NA
PUTM_lightyellow,2271,4,NA
PUTM_magenta,694,10,NA
PUTM_midnightblue,652,13,NA
PUTM_pink,590,1,NA
PUTM_purple,644,7,NA
PUTM_red,1149,6,NA
PUTM_royalblue,1455,16,NA
PUTM_salmon,551,21,NA
PUTM_tan,366,2,NA
PUTM_turquoise,2709,10,NA
PUTM_yellow,1096,20,NA
