"","query.number","significant","p.value","term.size","query.size","overlap.size","recall","precision","term.id","domain","subgraph.number","term.name","relative.depth","intersection","IC"
"45","red",TRUE,0.0438,563,445,36,0.081,0.064,"GO:0038023","MF",4,"signaling receptor activity",1,NA,4.13181823435752
"46","red",TRUE,0.0144,513,445,35,0.079,0.068,"GO:0004888","MF",4,"transmembrane signaling receptor activity",2,NA,4.27275457498862
"47","red",TRUE,0.0144,229,445,21,0.047,0.092,"GO:0004930","MF",4,"G-protein coupled receptor activity",3,NA,4.99887177478613
"48","violet",TRUE,0.0367,9,288,4,0.014,0.444,"GO:0071436","BP",1,"sodium ion export",1,NA,8.08851456862058
"49","darkturquoise",TRUE,3.48e-05,7129,477,291,0.61,0.041,"GO:0008152","BP",1,"metabolic process",1,NA,1.09105922272488
"50","darkturquoise",TRUE,1.26e-05,6333,477,267,0.56,0.042,"GO:0044238","BP",1,"primary metabolic process",2,NA,1.35036207402462
"51","darkturquoise",TRUE,6.86e-07,3712,477,181,0.379,0.049,"GO:0009058","BP",1,"biosynthetic process",2,NA,2.21921765548681
"52","darkturquoise",TRUE,3.43e-06,4170,477,195,0.409,0.047,"GO:0006807","BP",1,"nitrogen compound metabolic process",2,NA,2.03896255219888
"53","darkturquoise",TRUE,4.77e-06,6615,477,278,0.583,0.042,"GO:0071704","BP",1,"organic substance metabolic process",2,NA,1.24542089527368
"54","darkturquoise",TRUE,1.72e-07,5543,477,248,0.52,0.045,"GO:0043170","BP",1,"macromolecule metabolic process",3,NA,1.42116638675389
"55","darkturquoise",TRUE,3.8e-07,3153,477,161,0.338,0.051,"GO:0010467","BP",1,"gene expression",4,NA,2.31038605491273
"56","darkturquoise",TRUE,8.89e-07,3669,477,179,0.375,0.049,"GO:1901576","BP",1,"organic substance biosynthetic process",3,NA,2.23388356353288
"57","darkturquoise",TRUE,8.49e-10,3006,477,164,0.344,0.055,"GO:0009059","BP",1,"macromolecule biosynthetic process",4,NA,2.39245414005829
"58","darkturquoise",TRUE,1.62e-07,3597,477,179,0.375,0.05,"GO:1901360","BP",1,"organic cyclic compound metabolic process",3,NA,2.09015079905233
"59","darkturquoise",TRUE,2.84e-07,2499,477,136,0.285,0.054,"GO:1901362","BP",1,"organic cyclic compound biosynthetic process",4,NA,2.53913921692678
"60","darkturquoise",TRUE,9.52e-07,6529,477,278,0.583,0.043,"GO:0044237","BP",1,"cellular metabolic process",1,NA,1.25366088916061
"61","darkturquoise",TRUE,1.33e-09,5206,477,244,0.512,0.047,"GO:0044260","BP",1,"cellular macromolecule metabolic process",2,NA,1.54792866847206
"62","darkturquoise",TRUE,3.87e-08,3459,477,176,0.369,0.051,"GO:0006725","BP",1,"cellular aromatic compound metabolic process",2,NA,2.12790581833425
"63","darkturquoise",TRUE,1.81e-08,3456,477,177,0.371,0.051,"GO:0046483","BP",1,"heterocycle metabolic process",2,NA,2.13148221793408
"64","darkturquoise",TRUE,5.02e-07,3944,477,190,0.398,0.048,"GO:0034641","BP",1,"cellular nitrogen compound metabolic process",2,NA,2.08881479350958
"65","darkturquoise",TRUE,4.44e-09,3350,477,175,0.367,0.052,"GO:0006139","BP",1,"nucleobase-containing compound metabolic process",3,NA,2.15158743877777
"66","darkturquoise",TRUE,9.02e-10,2957,477,162,0.34,0.055,"GO:0090304","BP",1,"nucleic acid metabolic process",4,NA,2.22597664775037
"67","darkturquoise",TRUE,2.96e-08,2646,477,145,0.304,0.055,"GO:0016070","BP",1,"RNA metabolic process",5,NA,2.43845749332054
"68","darkturquoise",TRUE,1.51e-07,3594,477,179,0.375,0.05,"GO:0044249","BP",1,"cellular biosynthetic process",2,NA,2.26002154210205
"69","darkturquoise",TRUE,6.93e-08,2425,477,135,0.283,0.056,"GO:0018130","BP",1,"heterocycle biosynthetic process",3,NA,2.56828517800758
"70","darkturquoise",TRUE,6.93e-08,2425,477,135,0.283,0.056,"GO:0019438","BP",1,"aromatic compound biosynthetic process",3,NA,2.56674600577821
"71","darkturquoise",TRUE,3.48e-07,2786,477,147,0.308,0.053,"GO:0044271","BP",1,"cellular nitrogen compound biosynthetic process",3,NA,2.54664788713506
"72","darkturquoise",TRUE,4.68e-08,2387,477,134,0.281,0.056,"GO:0034654","BP",1,"nucleobase-containing compound biosynthetic process",4,NA,2.57850356696626
"73","darkturquoise",TRUE,8.25e-08,2136,477,123,0.258,0.058,"GO:0032774","BP",1,"RNA biosynthetic process",5,NA,2.64709635843187
"74","darkturquoise",TRUE,3.53e-08,2061,477,121,0.254,0.059,"GO:0097659","BP",1,"nucleic acid-templated transcription",6,NA,2.66288704433819
