,size,TCTX,THAL
TCTX_black,898,NA,22
TCTX_blue,1556,NA,12
TCTX_brown,883,NA,11
TCTX_cyan,647,NA,6
TCTX_darkgreen,518,NA,4
TCTX_darkred,844,NA,7
TCTX_darkturquoise,687,NA,13
TCTX_green,896,NA,14
TCTX_greenyellow,738,NA,18
TCTX_grey60,622,NA,10
TCTX_lightcyan,647,NA,17
TCTX_lightgreen,774,NA,19
TCTX_lightyellow,699,NA,1
TCTX_magenta,906,NA,6
TCTX_midnightblue,794,NA,7
TCTX_pink,893,NA,21
TCTX_purple,800,NA,12
TCTX_red,1607,NA,11
TCTX_salmon,683,NA,2
TCTX_tan,722,NA,23
TCTX_turquoise,1565,NA,16
TCTX_yellow,773,NA,4
THAL_black,1308,8,NA
THAL_blue,2188,7,NA
THAL_brown,1284,16,NA
THAL_cyan,729,20,NA
THAL_darkgreen,838,7,NA
THAL_darkred,1017,11,NA
THAL_greenyellow,458,19,NA
THAL_grey60,475,18,NA
THAL_lightcyan,1133,10,NA
THAL_lightgreen,966,4,NA
THAL_lightyellow,493,13,NA
THAL_magenta,746,14,NA
THAL_midnightblue,306,2,NA
THAL_pink,1035,11,NA
THAL_red,1241,5,NA
THAL_salmon,426,1,NA
THAL_tan,808,16,NA
THAL_turquoise,3072,3,NA
THAL_yellow,629,13,NA
