,tissue,color,size,FCTX,TCTX
FCTX_black,FCTX,black,808,NA,27.7786358763902
FCTX_blue,FCTX,blue,1816,NA,52.0118902826834
FCTX_brown,FCTX,brown,960,NA,73.3092489470997
FCTX_cyan,FCTX,cyan,586,NA,29.7228270156832
FCTX_darkgreen,FCTX,darkgreen,634,NA,22.5238555681953
FCTX_darkred,FCTX,darkred,1377,NA,23.2567686164793
FCTX_darkturquoise,FCTX,darkturquoise,550,NA,13.8866239405127
FCTX_green,FCTX,green,751,NA,67.1626395314554
FCTX_greenyellow,FCTX,greenyellow,646,NA,35.801625903217
FCTX_grey60,FCTX,grey60,468,NA,31.8675095359017
FCTX_lightcyan,FCTX,lightcyan,601,NA,19.287660191036
FCTX_lightgreen,FCTX,lightgreen,707,NA,20.6269956801811
FCTX_lightyellow,FCTX,lightyellow,669,NA,17.6266827597297
FCTX_magenta,FCTX,magenta,785,NA,41.3663720726593
FCTX_midnightblue,FCTX,midnightblue,598,NA,32.4414984349479
FCTX_pink,FCTX,pink,719,NA,30.3081592865444
FCTX_purple,FCTX,purple,635,NA,34.5157739572603
FCTX_red,FCTX,red,877,NA,57.9053258781435
FCTX_royalblue,FCTX,royalblue,561,NA,14.2902639562681
FCTX_salmon,FCTX,salmon,560,NA,19.8034768076582
FCTX_tan,FCTX,tan,580,NA,17.9961171915758
FCTX_turquoise,FCTX,turquoise,2545,NA,98.557134893265
FCTX_yellow,FCTX,yellow,719,NA,65.6844789145825
TCTX_black,TCTX,black,898,32.071249427393,NA
TCTX_blue,TCTX,blue,1556,77.5677708987277,NA
TCTX_brown,TCTX,brown,883,42.6322845508359,NA
TCTX_cyan,TCTX,cyan,647,25.2475429137449,NA
TCTX_darkgreen,TCTX,darkgreen,518,18.9208929320362,NA
TCTX_darkred,TCTX,darkred,844,16.3182091497809,NA
TCTX_darkturquoise,TCTX,darkturquoise,687,16.1039896695052,NA
TCTX_green,TCTX,green,896,40.8964737528692,NA
TCTX_greenyellow,TCTX,greenyellow,738,25.6069526289831,NA
TCTX_grey60,TCTX,grey60,622,35.0856843625357,NA
TCTX_lightcyan,TCTX,lightcyan,647,33.543209851735,NA
TCTX_lightgreen,TCTX,lightgreen,774,28.1639221388053,NA
TCTX_lightyellow,TCTX,lightyellow,699,21.4632758658774,NA
TCTX_magenta,TCTX,magenta,906,50.8339999171556,NA
TCTX_midnightblue,TCTX,midnightblue,794,30.2252300263787,NA
TCTX_pink,TCTX,pink,893,24.2103719342675,NA
TCTX_purple,TCTX,purple,800,39.2972313889374,NA
TCTX_red,TCTX,red,1607,60.4700541586533,NA
TCTX_salmon,TCTX,salmon,683,32.5837896164863,NA
TCTX_tan,TCTX,tan,722,14.7878964339467,NA
TCTX_turquoise,TCTX,turquoise,1565,68.2312383987503,NA
TCTX_yellow,TCTX,yellow,773,62.4222466724463,NA
