,size,THAL,WHMT
THAL_black,1308,NA,10
THAL_blue,2188,NA,6
THAL_brown,1284,NA,16
THAL_cyan,729,NA,18
THAL_darkgreen,838,NA,10
THAL_darkred,1017,NA,7
THAL_greenyellow,458,NA,17
THAL_grey60,475,NA,17
THAL_lightcyan,1133,NA,7
THAL_lightgreen,966,NA,8
THAL_lightyellow,493,NA,13
THAL_magenta,746,NA,19
THAL_midnightblue,306,NA,2
THAL_pink,1035,NA,8
THAL_red,1241,NA,4
THAL_salmon,426,NA,1
THAL_tan,808,NA,11
THAL_turquoise,3072,NA,3
THAL_yellow,629,NA,15
WHMT_black,1184,12,NA
WHMT_blue,1315,8,NA
WHMT_brown,1360,11,NA
WHMT_cyan,1069,17,NA
WHMT_green,1230,16,NA
WHMT_greenyellow,550,14,NA
WHMT_grey60,972,14,NA
WHMT_lightcyan,708,3,NA
WHMT_magenta,658,12,NA
WHMT_midnightblue,463,1,NA
WHMT_pink,1110,12,NA
WHMT_purple,602,3,NA
WHMT_red,625,9,NA
WHMT_salmon,1303,6,NA
WHMT_tan,1046,6,NA
WHMT_turquoise,2677,5,NA
WHMT_yellow,2280,7,NA
