,size,FCTX,WHMT
FCTX_black,808,NA,20
FCTX_blue,1816,NA,12
FCTX_brown,960,NA,10
FCTX_cyan,586,NA,2
FCTX_darkgreen,634,NA,9
FCTX_darkred,1377,NA,3
FCTX_darkturquoise,550,NA,4
FCTX_green,751,NA,8
FCTX_greenyellow,646,NA,12
FCTX_grey60,468,NA,1
FCTX_lightcyan,601,NA,9
FCTX_lightgreen,707,NA,19
FCTX_lightyellow,669,NA,19
FCTX_magenta,785,NA,15
FCTX_midnightblue,598,NA,11
FCTX_pink,719,NA,18
FCTX_purple,635,NA,15
FCTX_red,877,NA,11
FCTX_royalblue,561,NA,23
FCTX_salmon,560,NA,20
FCTX_tan,580,NA,13
FCTX_turquoise,2545,NA,9
FCTX_yellow,719,NA,11
WHMT_black,1184,13,NA
WHMT_blue,1315,10,NA
WHMT_brown,1360,14,NA
WHMT_cyan,1069,18,NA
WHMT_green,1230,12,NA
WHMT_greenyellow,550,17,NA
WHMT_grey60,972,13,NA
WHMT_lightcyan,708,2,NA
WHMT_magenta,658,11,NA
WHMT_midnightblue,463,1,NA
WHMT_pink,1110,5,NA
WHMT_purple,602,5,NA
WHMT_red,625,9,NA
WHMT_salmon,1303,8,NA
WHMT_tan,1046,7,NA
WHMT_turquoise,2677,3,NA
WHMT_yellow,2280,6,NA
