,tissue,color,size,FCTX,MEDU
FCTX_black,FCTX,black,808,NA,19.2201054074765
FCTX_blue,FCTX,blue,1816,NA,25.8174899680869
FCTX_brown,FCTX,brown,960,NA,92.4576655666695
FCTX_cyan,FCTX,cyan,586,NA,27.8239859497809
FCTX_darkgreen,FCTX,darkgreen,634,NA,17.4088359290359
FCTX_darkred,FCTX,darkred,1377,NA,20.6414183734697
FCTX_darkturquoise,FCTX,darkturquoise,550,NA,19.4307594488057
FCTX_green,FCTX,green,751,NA,36.8340451768431
FCTX_greenyellow,FCTX,greenyellow,646,NA,25.3784458090557
FCTX_grey60,FCTX,grey60,468,NA,35.6951501759347
FCTX_lightcyan,FCTX,lightcyan,601,NA,12.4718297430164
FCTX_lightgreen,FCTX,lightgreen,707,NA,16.1795168187518
FCTX_lightyellow,FCTX,lightyellow,669,NA,12.4191382121085
FCTX_magenta,FCTX,magenta,785,NA,25.2352480514085
FCTX_midnightblue,FCTX,midnightblue,598,NA,28.2814596277607
FCTX_pink,FCTX,pink,719,NA,18.1745497521074
FCTX_purple,FCTX,purple,635,NA,33.7249075638463
FCTX_red,FCTX,red,877,NA,50.1542196834081
FCTX_royalblue,FCTX,royalblue,561,NA,10.5793014818911
FCTX_salmon,FCTX,salmon,560,NA,10.2403844807071
FCTX_tan,FCTX,tan,580,NA,16.2512935279521
FCTX_turquoise,FCTX,turquoise,2545,NA,77.6408498608997
FCTX_yellow,FCTX,yellow,719,NA,43.4541912512824
MEDU_black,MEDU,black,799,24.0578096694626,NA
MEDU_blue,MEDU,blue,1723,48.1676563460032,NA
MEDU_brown,MEDU,brown,933,23.9144669775444,NA
MEDU_cyan,MEDU,cyan,1552,19.4006701896074,NA
MEDU_green,MEDU,green,909,7.77388284862653,NA
MEDU_greenyellow,MEDU,greenyellow,972,28.496067506122,NA
MEDU_grey60,MEDU,grey60,794,5.29717036286568,NA
MEDU_lightcyan,MEDU,lightcyan,900,51.0729851150385,NA
MEDU_lightgreen,MEDU,lightgreen,922,8.87750228890008,NA
MEDU_lightyellow,MEDU,lightyellow,815,16.2074521426186,NA
MEDU_midnightblue,MEDU,midnightblue,911,3.83384989045311,NA
MEDU_pink,MEDU,pink,457,17.633075954951,NA
MEDU_purple,MEDU,purple,1275,18.6674077968491,NA
MEDU_red,MEDU,red,1087,30.982961559976,NA
MEDU_tan,MEDU,tan,1421,12.3286893537147,NA
MEDU_turquoise,MEDU,turquoise,2429,114.174321806528,NA
MEDU_yellow,MEDU,yellow,1253,38.2080846995924,NA
