,tissue,color,size,HIPP,PUTM
HIPP_black,HIPP,black,630,NA,26.2358207010735
HIPP_blue,HIPP,blue,972,NA,41.3059704833403
HIPP_brown,HIPP,brown,710,NA,2.66239910780908
HIPP_cyan,HIPP,cyan,527,NA,32.9502427348958
HIPP_darkgreen,HIPP,darkgreen,373,NA,13.4544046364204
HIPP_darkgrey,HIPP,darkgrey,402,NA,5.80616774110723
HIPP_darkorange,HIPP,darkorange,397,NA,12.7581459901429
HIPP_darkred,HIPP,darkred,321,NA,0.88531717056312
HIPP_darkturquoise,HIPP,darkturquoise,346,NA,5.0311361853549
HIPP_green,HIPP,green,455,NA,17.8791900546
HIPP_greenyellow,HIPP,greenyellow,441,NA,15.8119172907651
HIPP_grey60,HIPP,grey60,607,NA,13.2075389075157
HIPP_lightcyan,HIPP,lightcyan,597,NA,14.104570517143
HIPP_lightgreen,HIPP,lightgreen,1530,NA,20.1256420168809
HIPP_lightyellow,HIPP,lightyellow,492,NA,24.2528422922208
HIPP_magenta,HIPP,magenta,481,NA,1.49038562564308
HIPP_midnightblue,HIPP,midnightblue,332,NA,1.08982870212473
HIPP_orange,HIPP,orange,525,NA,5.5120185323833
HIPP_paleturquoise,HIPP,paleturquoise,407,NA,8.13537435732444
HIPP_pink,HIPP,pink,433,NA,10.8603028333413
HIPP_purple,HIPP,purple,427,NA,16.36090874158
HIPP_red,HIPP,red,435,NA,17.308726412429
HIPP_royalblue,HIPP,royalblue,675,NA,17.5233998148111
HIPP_saddlebrown,HIPP,saddlebrown,1296,NA,17.4361213632026
HIPP_salmon,HIPP,salmon,351,NA,3.50492287654249
HIPP_skyblue,HIPP,skyblue,408,NA,11.5060930636755
HIPP_steelblue,HIPP,steelblue,503,NA,6.26875051564992
HIPP_tan,HIPP,tan,420,NA,37.7205488362627
HIPP_turquoise,HIPP,turquoise,2119,NA,115.490616377627
HIPP_violet,HIPP,violet,365,NA,10.1033553143143
HIPP_white,HIPP,white,551,NA,18.0430268820295
HIPP_yellow,HIPP,yellow,624,NA,28.6525751116615
PUTM_black,PUTM,black,867,31.7398008618227,NA
PUTM_blue,PUTM,blue,1028,43.4653368356191,NA
PUTM_brown,PUTM,brown,1090,55.7855603278485,NA
PUTM_cyan,PUTM,cyan,524,7.62062392080331,NA
PUTM_green,PUTM,green,725,81.5589196419269,NA
PUTM_greenyellow,PUTM,greenyellow,362,26.0223011659171,NA
PUTM_grey60,PUTM,grey60,794,10.8266005232995,NA
PUTM_lightcyan,PUTM,lightcyan,736,22.7444099623999,NA
PUTM_lightgreen,PUTM,lightgreen,849,13.4046837899884,NA
PUTM_lightyellow,PUTM,lightyellow,2271,12.7589152395222,NA
PUTM_magenta,PUTM,magenta,694,30.5650537731069,NA
PUTM_midnightblue,PUTM,midnightblue,652,13.4091225978771,NA
PUTM_pink,PUTM,pink,590,42.4231901017438,NA
PUTM_purple,PUTM,purple,644,19.8217811332958,NA
PUTM_red,PUTM,red,1149,49.0721683873997,NA
PUTM_royalblue,PUTM,royalblue,1455,4.81758136464384,NA
PUTM_salmon,PUTM,salmon,551,4.32915476086658,NA
PUTM_tan,PUTM,tan,366,32.8367946607533,NA
PUTM_turquoise,PUTM,turquoise,2709,75.0805890496047,NA
PUTM_yellow,PUTM,yellow,1096,11.5826463290963,NA
