,tissue,color,size,MEDU,WHMT
MEDU_black,MEDU,black,799,NA,48.2197599809737
MEDU_blue,MEDU,blue,1723,NA,63.9646498098518
MEDU_brown,MEDU,brown,933,NA,24.4445052025408
MEDU_cyan,MEDU,cyan,1552,NA,21.5780838923694
MEDU_green,MEDU,green,909,NA,17.7717844696687
MEDU_greenyellow,MEDU,greenyellow,972,NA,33.4479668662863
MEDU_grey60,MEDU,grey60,794,NA,9.11453037656334
MEDU_lightcyan,MEDU,lightcyan,900,NA,31.6983785022697
MEDU_lightgreen,MEDU,lightgreen,922,NA,10.0876281750163
MEDU_lightyellow,MEDU,lightyellow,815,NA,7.69186785447193
MEDU_midnightblue,MEDU,midnightblue,911,NA,5.20275919126845
MEDU_pink,MEDU,pink,457,NA,43.22574991984
MEDU_purple,MEDU,purple,1275,NA,28.2833496940767
MEDU_red,MEDU,red,1087,NA,30.1987035182747
MEDU_tan,MEDU,tan,1421,NA,6.15362315425646
MEDU_turquoise,MEDU,turquoise,2429,NA,91.5190672448032
MEDU_yellow,MEDU,yellow,1253,NA,48.8290466019851
WHMT_black,WHMT,black,1184,17.7322840213607,NA
WHMT_blue,WHMT,blue,1315,84.4497171020249,NA
WHMT_brown,WHMT,brown,1360,63.7124688278509,NA
WHMT_cyan,WHMT,cyan,1069,3.6032880920134,NA
WHMT_green,WHMT,green,1230,31.0517824632757,NA
WHMT_greenyellow,WHMT,greenyellow,550,14.2259760537886,NA
WHMT_grey60,WHMT,grey60,972,8.57568407022003,NA
WHMT_lightcyan,WHMT,lightcyan,708,20.2170649663924,NA
WHMT_magenta,WHMT,magenta,658,35.1182357775494,NA
WHMT_midnightblue,WHMT,midnightblue,463,28.6605560427814,NA
WHMT_pink,WHMT,pink,1110,37.3121603086639,NA
WHMT_purple,WHMT,purple,602,27.5561427358243,NA
WHMT_red,WHMT,red,625,46.7685435412804,NA
WHMT_salmon,WHMT,salmon,1303,27.3997933369714,NA
WHMT_tan,WHMT,tan,1046,21.4679070354937,NA
WHMT_turquoise,WHMT,turquoise,2677,82.628422954404,NA
WHMT_yellow,WHMT,yellow,2280,22.1892328171126,NA
