"InputCategories","UserDefinedCategories","Type","CorrectedPvalues"
"green","blue_M2_Oligodendrocytes__HumanMeta","Brain",1.2655586776176e-199
"pink","brown_M3_Astrocytes__HumanMeta","Brain",8.03643000400905e-189
"pink","Astrocyte_probable__Cahoy","Brain",5.62749216236936e-143
"yellow","Neuron_probable__Cahoy","Brain",5.16815918014235e-108
"green","turquoise_M9_Oligodendrocyte__CTX","Brain",1.60045199369408e-105
"purple","pink_M10_Microglia(Type1)__HumanMeta","Brain",6.95012677044755e-98
"pink","brown_M15_Astrocyte__CTX","Brain",2.77761339040924e-97
"yellow","green_M5_Mitochondria__HumanMeta","Brain",4.14354487656086e-96
"yellow","PostSynapticDensity_proteins__Bayes","Brain",5.99240263272891e-93
"yellow","Autism_associated_module_M12__Voineagu","Brain",4.04698365332731e-83
"green","Oligodendrocyte_probable__Cahoy","Brain",3.32922895839307e-75
"yellow","DownWithAlzheimers_Blalock__ADvsCT_inCA1","Brain",2.42366346615199e-72
"yellow","DownWithAlzheimers_Liang__ADvsCT_inCA1","Brain",3.34552587274707e-58
"yellow","red_M11_Neuron__HumanMeta","Brain",3.90422941259919e-51
"yellow","brown_downAD_mitochondrion__Blalock_AD","Brain",4.35646103454677e-51
"pink","Astrocyte_definite__Cahoy","Brain",6.55484794676743e-51
"green","tan_noChangeAD_oligo_plasmaMembrane__Blalock_AD","Brain",2.35892635926337e-45
"green","Oligodendrocyte_definite__Cahoy","Brain",2.54398136101704e-40
"green","turquoise_upAging_oligo__Lu_Aging","Brain",3.50566596261234e-40
"yellow","blue_Cortex__HumanChimp","Brain",2.14965526370878e-38
"yellow","blue_downAging_mitochondria_synapse__Lu_Aging","Brain",2.79067054424282e-38
"magenta","Neuron_probable__Cahoy","Brain",9.31809984742696e-36
"pink","UpWithAlzheimers_Blalock__ADvsCT_inCA1","Brain",9.7150256691583e-34
"salmon","blue_M16_Neuron__CTX","Brain",2.54857132433928e-33
"pink","brown_upAging_copperHomeostatisMT1__Lu_Aging","Brain",1.3788973473066e-32
"pink","red_ACCandCaudate__HumanChimp","Brain",7.92492902237194e-29
"green","Oligodendrocyte__ABA","Brain",2.54602365210189e-28
"salmon","yellow_M18__CTX","Brain",2.55853889544361e-27
"salmon","DownWithAlzheimers_Blalock__ADvsCT_inCA1","Brain",2.99542245298826e-27
"salmon","DownWithAlzheimers_Liang__ADvsCT_inCA1","Brain",4.3538411718193e-26
"yellow","purple_downAD_synapticTransmission__Blalock_AD","Brain",6.69014968631632e-25
"purple","upInFrontalCortex__EarlyAD","Brain",1.96629090267495e-23
"yellow","Neuron__ABA","Brain",8.93688959928234e-23
"purple","purple_M4_Microglia(Type1)__CTX","Brain",1.15208435222757e-22
"red","turquoise_M14_Nucleus__HumanMeta","Brain",3.71833931523946e-21
"brown","DownWithAlzheimers_Liang__ADvsCT_inCA1","Brain",1.74038496707895e-20
"yellow","greenyellow_M6_GlutatmatergicSynapse__MouseMeta","Brain",3.5848960259811e-20
"yellow","green_M10_GlutamatergicSynapticFunction__CTX","Brain",2.59214708012127e-19
"red","blue_M2_Oligodendrocytes__HumanMeta","Brain",2.60569015607507e-19
"yellow","pink_downAD_synapticTransmission__Blalock_AD","Brain",1.25081942733649e-18
"yellow","PresynapticCompartmentProteins_Morciano__MO","Brain",9.41411338221927e-18
"yellow","Neuron_definite__Cahoy","Brain",1.1994861449385e-17
"magenta","Autism_associated_module_M12__Voineagu","Brain",1.26179750622324e-16
"yellow","brown_Cortex__HumanChimp","Brain",6.4268027676118e-16
"green","black_WhiteMatter__HumanChimp","Brain",8.41306952779941e-16
"red","turquoise_M9_Oligodendrocyte__CTX","Brain",4.61019052097232e-15
"magenta","Autism_differential_expression_across_at_least_one_comparison__Voineagu","Brain",1.07101502748352e-14
"red","Oligodendrocyte_probable__Cahoy","Brain",1.107985345139e-14
"salmon","red_M11_Neuron__HumanMeta","Brain",2.00047765168293e-14
"yellow","blue_M16_Neuron__CTX","Brain",5.82105051962983e-14
"yellow","Autism_differential_expression_across_at_least_one_comparison__Voineagu","Brain",2.14270660067469e-13
"cyan","Neuron_probable__Cahoy","Brain",7.77784118769569e-13
"cyan","tan_M13_Neuron__HumanMeta","Brain",1.02155107244085e-12
"greenyellow","magenta_M8_Microglia(Type2)__HumanMeta","Brain",1.52016367066666e-12
"salmon","PostSynapticDensity_proteins__Bayes","Brain",2.52602947198271e-12
"magenta","Neuron_definite__Cahoy","Brain",1.1373797780155e-11
"yellow","turquoise_CingulateNeurons(allTypes)/Layer5__Sugino/Winden","Brain",1.43555363876045e-11
"red","turquoise_upAging_oligo__Lu_Aging","Brain",1.71624789243558e-11
"yellow","yellow_M18__CTX","Brain",2.05169189852305e-11
"salmon","turquoise_M14_Nucleus__MouseMeta","Brain",4.79301729601915e-11
"yellow","greenyellow_downAD_ionAndCalciumTransport__Blalock_AD","Brain",5.55171637199558e-11
"yellow","pink_M14_GlutamatergicSynapticFunction__CTX","Brain",5.8156111273451e-11
"pink","yellow_noChangeAD_antigenProcessing_ribosome__Blalock_AD","Brain",1.10223995747189e-10
"yellow","Synaptic__MitochondrialType","Brain",1.20157724105463e-10
"magenta","black_M1_PvalbInterneurons__HumanMeta","Brain",2.91781934478653e-10
"black","green_M10_GlutamatergicSynapticFunction__CTX","Brain",3.85915114016954e-10
"black","greenyellow_M6_GlutatmatergicSynapse__MouseMeta","Brain",2.11665507671523e-09
"salmon","brown_downAD_mitochondrion__Blalock_AD","Brain",2.81710448153817e-09
"yellow","CA3specific_Newrzella__CA1vsCA3","Brain",2.85405537956673e-09
"yellow","black_M1_PvalbInterneurons__HumanMeta","Brain",3.12977112482487e-09
"yellow","blue_downAD_metalIonTransport_glycoprotein__Blalock_AD","Brain",9.90536362573839e-09
"salmon","brown_pyramidalNeurons_Layer5/basolateralAmygdala__Sugino/Winden","Brain",1.78357470345681e-08
"yellow","brown_M15_Astrocyte__CTX","Brain",1.8836092545358e-08
"yellow","tan_M13_Neuron__HumanMeta","Brain",2.66244802659068e-08
"pink","Astrocyte__ABA","Brain",9.74530858283605e-08
"brown","yellow_M18__CTX","Brain",1.12849590295759e-07
"purple","orange_M5_Microglia(Type2)__CTX","Brain",2.38909958664606e-07
"yellow","turquoise_M14_Nucleus__MouseMeta","Brain",4.2800853211276e-07
"brown","blue_M16_Neuron__CTX","Brain",9.24793397796855e-07
"yellow","Cytoplasm_Foster__MO","Brain",1.95448344409148e-06
"red","UpWithAlzheimers_Blalock__ADvsCT_inCA1","Brain",2.97098343930883e-06
"pink","turquoise_upAging_oligo__Lu_Aging","Brain",3.03650817722136e-06
"red","turquoise_M14_Nucleus__MouseMeta","Brain",3.21237314718396e-06
"pink","Validated_Astrocyte_Bachoo__MO","Brain",3.32587795926073e-06
"purple","upMGactivagtion_GSE1910__MicrogialMarkers","Brain",6.3093510462168e-06
"black","Up_CD40_stimulation_in_MG_AitGhezala__MicrogialMarkers","Brain",9.37871137739909e-06
"salmon","turquoise_downAD_intracellularTransport_cytoskeleton__Blalock_AD","Brain",1.42981933485427e-05
"purple","upInHippocampus__EarlyAD","Brain",1.43414380353269e-05
"purple","magenta_M8_Microglia(Type2)__HumanMeta","Brain",1.91012172227889e-05
"brown","turquoise_M14_Nucleus__MouseMeta","Brain",2.97692034953483e-05
"magenta","turquoise_Cerebellum__HumanChimp","Brain",4.14124374561706e-05
"brown","cyan_M4_Mitochondria__MouseMeta","Brain",4.41269081201472e-05
"brown","turquoise_M14_Nucleus__HumanMeta","Brain",4.64770018759628e-05
"yellow","Somatic__MitochondrialType","Brain",4.86208637090931e-05
"yellow","green_CortexAndCerebellum__HumanChimp","Brain",4.92044981973035e-05
"red","Astrocyte_probable__Cahoy","Brain",6.04620756944765e-05
"salmon","turquoise_CingulateNeurons(allTypes)/Layer5__Sugino/Winden","Brain",6.48496110221573e-05
"pink","magenta_M8_Microglia(Type2)__HumanMeta","Brain",0.000113985668105647
"yellow","GlutamatergicNeuronsInMouseCortex_Sugino__MO","Brain",0.00014396661545513
"purple","mutationMouseOrHumanOrBoth__JAXdiseaseGene","Brain",0.00019165180738743
"salmon","salmon_M12_Ribosome__MouseMeta","Brain",0.00027530957160287
"pink","Autism_differential_expression_across_at_least_one_comparison__Voineagu","Brain",0.000472959682492894
"green","UpWithAlzheimers_Blalock__ADvsCT_inCA1","Brain",0.00086899438573596
"purple","upWithABeta_MGactivation_GSE772__MicrogialMarkers","Brain",0.000903279472216037
"red","black_M11__CTX","Brain",0.00105518699088543
"magenta","blue_downAD_metalIonTransport_glycoprotein__Blalock_AD","Brain",0.00113699764533611
"pink","orange_M5_Microglia(Type2)__CTX","Brain",0.00117943773734222
"brown","turquoise_downAD_intracellularTransport_cytoskeleton__Blalock_AD","Brain",0.00126245526963587
"brown","cyan_M4_Mitochondria__HumanMeta","Brain",0.00141155688620528
"yellow","darkolivegreen_M6_PvalbInterneurons__CTX","Brain",0.00144978211697312
"yellow","CA3specific_Lein__CA1vsCA3","Brain",0.00149122122988836
"yellow","green_M5_Mitochondria__MouseMeta","Brain",0.00184472564388837
"yellow","Up_CD40_stimulation_in_MG_AitGhezala__MicrogialMarkers","Brain",0.00203968423031898
"salmon","blue_downAging_mitochondria_synapse__Lu_Aging","Brain",0.0020418689710242
"yellow","purple_pyramidalNeurons_Layers5&6/basolateralAmygdala__Sugino/Winden","Brain",0.00326297973355466
"yellow","CA3specific_GorLorT__CA1vsCA3","Brain",0.00478228016724126
"red","yellow_noChangeAD_antigenProcessing_ribosome__Blalock_AD","Brain",0.00525261095540489
"cyan","Neuron_definite__Cahoy","Brain",0.00527707395508569
"yellow","tan_M13_Neuron__MouseMeta","Brain",0.00619792722066084
"yellow","blue_Interneurons_Hippocampus(Sst+)/Cingulate(Pvalb+)__Sugino/Winden","Brain",0.00822948509879525
"magenta","CA1specific_Newrzella__CA1vsCA3","Brain",0.0135868504946209
"salmon","brown_Cortex__HumanChimp","Brain",0.0175100290219081
"yellow","magenta_downAD_synapticTransmission__Blalock_AD","Brain",0.0184704990480004
"brown","brown_pyramidalNeurons_Layer5/basolateralAmygdala__Sugino/Winden","Brain",0.0220744175335477
"brown","DownWithAlzheimers_Blalock__ADvsCT_inCA1","Brain",0.0332359973384619
"salmon","Oligodendrocyte_probable__Cahoy","Brain",0.0368966303849011
"red","turquoise_Cerebellum__HumanChimp","Brain",0.0420612598593437
"yellow","midnightblue_pyramidalNeurons_Layers5&6/basolateralAmygdala__Sugino/Winden","Brain",0.0427343872247181
"purple","tan_M12_Hypoxia__CTX","Brain",0.0463029633763338
