,size,OCTX,THAL
OCTX_black,530,NA,12
OCTX_blue,1372,NA,27
OCTX_brown,669,NA,4
OCTX_cyan,435,NA,27
OCTX_darkgreen,367,NA,16
OCTX_darkgrey,1389,NA,26
OCTX_darkmagenta,455,NA,9
OCTX_darkolivegreen,355,NA,27
OCTX_darkorange,504,NA,26
OCTX_darkturquoise,538,NA,19
OCTX_green,490,NA,35
OCTX_greenyellow,630,NA,18
OCTX_grey60,313,NA,6
OCTX_lightcyan,361,NA,3
OCTX_lightgreen,378,NA,1
OCTX_lightyellow,532,NA,29
OCTX_magenta,378,NA,12
OCTX_midnightblue,421,NA,24
OCTX_orange,436,NA,16
OCTX_paleturquoise,587,NA,5
OCTX_pink,501,NA,2
OCTX_purple,545,NA,21
OCTX_red,581,NA,34
OCTX_royalblue,418,NA,24
OCTX_saddlebrown,430,NA,13
OCTX_salmon,518,NA,18
OCTX_sienna3,400,NA,7
OCTX_skyblue,423,NA,18
OCTX_steelblue,443,NA,24
OCTX_tan,440,NA,19
OCTX_turquoise,1775,NA,11
OCTX_violet,344,NA,8
OCTX_white,547,NA,29
OCTX_yellow,647,NA,31
THAL_black,1308,10,NA
THAL_blue,2188,6,NA
THAL_brown,1284,17,NA
THAL_cyan,729,18,NA
THAL_darkgreen,838,7,NA
THAL_darkred,1017,8,NA
THAL_greenyellow,458,17,NA
THAL_grey60,475,16,NA
THAL_lightcyan,1133,9,NA
THAL_lightgreen,966,5,NA
THAL_lightyellow,493,12,NA
THAL_magenta,746,19,NA
THAL_midnightblue,306,2,NA
THAL_pink,1035,10,NA
THAL_red,1241,3,NA
THAL_salmon,426,1,NA
THAL_tan,808,14,NA
THAL_turquoise,3072,4,NA
THAL_yellow,629,11,NA
