,tissue,color,size,CRBL,PUTM
CRBL_black,CRBL,black,988,NA,21.8585424255952
CRBL_blue,CRBL,blue,1654,NA,33.8554324382225
CRBL_brown,CRBL,brown,456,NA,32.1307686942547
CRBL_cyan,CRBL,cyan,919,NA,14.7148317335299
CRBL_darkgrey,CRBL,darkgrey,1552,NA,16.0098668030631
CRBL_darkred,CRBL,darkred,538,NA,10.3106830977795
CRBL_darkturquoise,CRBL,darkturquoise,736,NA,15.7416615132765
CRBL_green,CRBL,green,573,NA,20.0527546559472
CRBL_greenyellow,CRBL,greenyellow,680,NA,27.9272802022627
CRBL_grey60,CRBL,grey60,861,NA,25.9232395315691
CRBL_lightcyan,CRBL,lightcyan,850,NA,18.1307930718996
CRBL_lightgreen,CRBL,lightgreen,553,NA,10.9397874640994
CRBL_lightyellow,CRBL,lightyellow,322,NA,1.57390584184899
CRBL_magenta,CRBL,magenta,776,NA,30.3251063812585
CRBL_midnightblue,CRBL,midnightblue,364,NA,22.9228997581417
CRBL_pink,CRBL,pink,858,NA,18.2554500572361
CRBL_purple,CRBL,purple,943,NA,11.0946724669909
CRBL_red,CRBL,red,581,NA,15.4567501328478
CRBL_royalblue,CRBL,royalblue,556,NA,13.8937726992895
CRBL_salmon,CRBL,salmon,733,NA,16.9574680517448
CRBL_tan,CRBL,tan,1049,NA,30.3366804368194
CRBL_turquoise,CRBL,turquoise,2041,NA,97.6894854683334
CRBL_yellow,CRBL,yellow,569,NA,31.0561929427029
PUTM_black,PUTM,black,867,21.70705597537,NA
PUTM_blue,PUTM,blue,1028,17.2061153421222,NA
PUTM_brown,PUTM,brown,1090,38.3878381306289,NA
PUTM_cyan,PUTM,cyan,524,7.68928856374663,NA
PUTM_green,PUTM,green,725,42.3361289996072,NA
PUTM_greenyellow,PUTM,greenyellow,362,19.5207536684042,NA
PUTM_grey60,PUTM,grey60,794,8.87549172532415,NA
PUTM_lightcyan,PUTM,lightcyan,736,13.134783975073,NA
PUTM_lightgreen,PUTM,lightgreen,849,10.223618237883,NA
PUTM_lightyellow,PUTM,lightyellow,2271,11.3468304605555,NA
PUTM_magenta,PUTM,magenta,694,31.7644707804411,NA
PUTM_midnightblue,PUTM,midnightblue,652,16.6593376122594,NA
PUTM_pink,PUTM,pink,590,28.3098344899898,NA
PUTM_purple,PUTM,purple,644,13.6150901971048,NA
PUTM_red,PUTM,red,1149,48.7831525614797,NA
PUTM_royalblue,PUTM,royalblue,1455,5.45698040234838,NA
PUTM_salmon,PUTM,salmon,551,2.82057884327973,NA
PUTM_tan,PUTM,tan,366,25.8727889441976,NA
PUTM_turquoise,PUTM,turquoise,2709,78.5733752174524,NA
PUTM_yellow,PUTM,yellow,1096,14.5448190004084,NA
