,size,HIPP,THAL
HIPP_black,630,NA,2
HIPP_blue,972,NA,15
HIPP_brown,710,NA,29
HIPP_cyan,527,NA,7
HIPP_darkgreen,373,NA,4
HIPP_darkgrey,402,NA,14
HIPP_darkorange,397,NA,17
HIPP_darkred,321,NA,32
HIPP_darkturquoise,346,NA,29
HIPP_green,455,NA,16
HIPP_greenyellow,441,NA,17
HIPP_grey60,607,NA,7
HIPP_lightcyan,597,NA,21
HIPP_lightgreen,1530,NA,13
HIPP_lightyellow,492,NA,1
HIPP_magenta,481,NA,31
HIPP_midnightblue,332,NA,31
HIPP_orange,525,NA,24
HIPP_paleturquoise,407,NA,23
HIPP_pink,433,NA,24
HIPP_purple,427,NA,20
HIPP_red,435,NA,25
HIPP_royalblue,675,NA,15
HIPP_saddlebrown,1296,NA,3
HIPP_salmon,351,NA,32
HIPP_skyblue,408,NA,12
HIPP_steelblue,503,NA,9
HIPP_tan,420,NA,5
HIPP_turquoise,2119,NA,10
HIPP_violet,365,NA,19
HIPP_white,551,NA,9
HIPP_yellow,624,NA,19
THAL_black,1308,10,NA
THAL_blue,2188,8,NA
THAL_brown,1284,11,NA
THAL_cyan,729,16,NA
THAL_darkgreen,838,8,NA
THAL_darkred,1017,7,NA
THAL_greenyellow,458,20,NA
THAL_grey60,475,18,NA
THAL_lightcyan,1133,12,NA
THAL_lightgreen,966,5,NA
THAL_lightyellow,493,14,NA
THAL_magenta,746,18,NA
THAL_midnightblue,306,2,NA
THAL_pink,1035,12,NA
THAL_red,1241,3,NA
THAL_salmon,426,1,NA
THAL_tan,808,16,NA
THAL_turquoise,3072,4,NA
THAL_yellow,629,11,NA
