,tissue,color,size,THAL,WHMT
THAL_black,THAL,black,1308,NA,36.8938971803866
THAL_blue,THAL,blue,2188,NA,64.1950539762498
THAL_brown,THAL,brown,1284,NA,26.7231259290341
THAL_cyan,THAL,cyan,729,NA,7.80627479682246
THAL_darkgreen,THAL,darkgreen,838,NA,41.5442620456989
THAL_darkred,THAL,darkred,1017,NA,9.50904587963811
THAL_greenyellow,THAL,greenyellow,458,NA,9.13900033228916
THAL_grey60,THAL,grey60,475,NA,7.33097673229681
THAL_lightcyan,THAL,lightcyan,1133,NA,17.2098623393519
THAL_lightgreen,THAL,lightgreen,966,NA,15.0008330044216
THAL_lightyellow,THAL,lightyellow,493,NA,8.42127130589198
THAL_magenta,THAL,magenta,746,NA,4.76278438266546
THAL_midnightblue,THAL,midnightblue,306,NA,32.5734049965681
THAL_pink,THAL,pink,1035,NA,29.4816735836951
THAL_red,THAL,red,1241,NA,57.6086796262504
THAL_salmon,THAL,salmon,426,NA,43.1245424741167
THAL_tan,THAL,tan,808,NA,15.1385164600571
THAL_turquoise,THAL,turquoise,3072,NA,78.0545227474634
THAL_yellow,THAL,yellow,629,NA,31.5351389806485
WHMT_black,WHMT,black,1184,21.9302356638404,NA
WHMT_blue,WHMT,blue,1315,64.6594459301812,NA
WHMT_brown,WHMT,brown,1360,40.2975972630059,NA
WHMT_cyan,WHMT,cyan,1069,5.36361058438301,NA
WHMT_green,WHMT,green,1230,15.8954810549817,NA
WHMT_greenyellow,WHMT,greenyellow,550,13.2824105860122,NA
WHMT_grey60,WHMT,grey60,972,7.30396812803474,NA
WHMT_lightcyan,WHMT,lightcyan,708,16.9314661414881,NA
WHMT_magenta,WHMT,magenta,658,18.2985968782599,NA
WHMT_midnightblue,WHMT,midnightblue,463,31.4782323185189,NA
WHMT_pink,WHMT,pink,1110,22.2995543680068,NA
WHMT_purple,WHMT,purple,602,36.5483341993839,NA
WHMT_red,WHMT,red,625,22.3824657539964,NA
WHMT_salmon,WHMT,salmon,1303,24.5895286223443,NA
WHMT_tan,WHMT,tan,1046,32.425469262901,NA
WHMT_turquoise,WHMT,turquoise,2677,84.9828726140443,NA
WHMT_yellow,WHMT,yellow,2280,30.4331613023656,NA
