,tissue,color,size,OCTX,SNIG
OCTX_black,OCTX,black,530,NA,32.875878623107
OCTX_blue,OCTX,blue,1372,NA,43.322459319483
OCTX_brown,OCTX,brown,669,NA,59.5778012828687
OCTX_cyan,OCTX,cyan,435,NA,14.6537495759974
OCTX_darkgreen,OCTX,darkgreen,367,NA,17.0805030979222
OCTX_darkgrey,OCTX,darkgrey,1389,NA,14.1323448884961
OCTX_darkmagenta,OCTX,darkmagenta,455,NA,19.0369117604377
OCTX_darkolivegreen,OCTX,darkolivegreen,355,NA,7.4969284489022
OCTX_darkorange,OCTX,darkorange,504,NA,16.7605285646364
OCTX_darkturquoise,OCTX,darkturquoise,538,NA,13.3753593491693
OCTX_green,OCTX,green,490,NA,3.75904521287696
OCTX_greenyellow,OCTX,greenyellow,630,NA,25.6518594010026
OCTX_grey60,OCTX,grey60,313,NA,19.0879585414781
OCTX_lightcyan,OCTX,lightcyan,361,NA,34.747041623037
OCTX_lightgreen,OCTX,lightgreen,378,NA,27.4039920775191
OCTX_lightyellow,OCTX,lightyellow,532,NA,10.3807271148164
OCTX_magenta,OCTX,magenta,378,NA,31.7149271114202
OCTX_midnightblue,OCTX,midnightblue,421,NA,13.2696578125169
OCTX_orange,OCTX,orange,436,NA,18.2629949232241
OCTX_paleturquoise,OCTX,paleturquoise,587,NA,13.9982982581062
OCTX_pink,OCTX,pink,501,NA,40.4567322760407
OCTX_purple,OCTX,purple,545,NA,33.4162792868951
OCTX_red,OCTX,red,581,NA,4.60736559552489
OCTX_royalblue,OCTX,royalblue,418,NA,14.199911176813
OCTX_saddlebrown,OCTX,saddlebrown,430,NA,14.068177795633
OCTX_salmon,OCTX,salmon,518,NA,18.8587287283388
OCTX_sienna3,OCTX,sienna3,400,NA,12.7753837875416
OCTX_skyblue,OCTX,skyblue,423,NA,14.4544058711617
OCTX_steelblue,OCTX,steelblue,443,NA,9.69753620975123
OCTX_tan,OCTX,tan,440,NA,20.6459324146063
OCTX_turquoise,OCTX,turquoise,1775,NA,82.8426233211389
OCTX_violet,OCTX,violet,344,NA,9.94669832200968
OCTX_white,OCTX,white,547,NA,10.5668923846675
OCTX_yellow,OCTX,yellow,647,NA,17.8259502172282
SNIG_black,SNIG,black,1016,21.9039152490058,NA
SNIG_blue,SNIG,blue,2459,50.4830278144745,NA
SNIG_brown,SNIG,brown,1083,27.6474055424497,NA
SNIG_cyan,SNIG,cyan,1193,1.44764687110671,NA
SNIG_green,SNIG,green,1465,55.4828657854448,NA
SNIG_greenyellow,SNIG,greenyellow,1439,14.3322263705957,NA
SNIG_magenta,SNIG,magenta,1117,9.92759422830701,NA
SNIG_pink,SNIG,pink,1294,30.0117863490322,NA
SNIG_purple,SNIG,purple,625,27.5423388332621,NA
SNIG_red,SNIG,red,1435,28.7080975249563,NA
SNIG_salmon,SNIG,salmon,1091,10.2110618859056,NA
SNIG_turquoise,SNIG,turquoise,2953,96.2305038975524,NA
SNIG_yellow,SNIG,yellow,1982,51.9365107713727,NA
