,size,SNIG,TCTX
SNIG_black,1016,NA,9
SNIG_blue,2459,NA,7
SNIG_brown,1083,NA,12
SNIG_cyan,1193,NA,13
SNIG_green,1465,NA,5
SNIG_greenyellow,1439,NA,6
SNIG_magenta,1117,NA,12
SNIG_pink,1294,NA,7
SNIG_purple,625,NA,2
SNIG_red,1435,NA,10
SNIG_salmon,1091,NA,4
SNIG_turquoise,2953,NA,4
SNIG_yellow,1982,NA,4
TCTX_black,898,22,NA
TCTX_blue,1556,12,NA
TCTX_brown,883,14,NA
TCTX_cyan,647,9,NA
TCTX_darkgreen,518,4,NA
TCTX_darkred,844,8,NA
TCTX_darkturquoise,687,11,NA
TCTX_green,896,12,NA
TCTX_greenyellow,738,19,NA
TCTX_grey60,622,8,NA
TCTX_lightcyan,647,16,NA
TCTX_lightgreen,774,18,NA
TCTX_lightyellow,699,1,NA
TCTX_magenta,906,6,NA
TCTX_midnightblue,794,2,NA
TCTX_pink,893,21,NA
TCTX_purple,800,13,NA
TCTX_red,1607,9,NA
TCTX_salmon,683,4,NA
TCTX_tan,722,23,NA
TCTX_turquoise,1565,15,NA
TCTX_yellow,773,7,NA
