"","query.number","significant","p.value","term.size","query.size","overlap.size","recall","precision","term.id","domain","subgraph.number","term.name","relative.depth","intersection","IC"
"1","purple",TRUE,0.0429,353,567,31,0.055,0.088,"GO:0015672","BP",7,"monovalent inorganic cation transport",1,NA,4.7813461366067
"2","purple",TRUE,0.0147,2908,567,155,0.273,0.053,"GO:0051234","BP",1,"establishment of localization",1,NA,2.40912987822602
"3","purple",TRUE,0.00419,2847,567,155,0.273,0.054,"GO:0006810","BP",1,"transport",2,NA,2.45785435879334
"4","purple",TRUE,0.00828,2720,567,148,0.261,0.054,"GO:1902578","BP",1,"single-organism localization",1,NA,2.48980774991368
"5","purple",TRUE,0.005,2606,567,144,0.254,0.055,"GO:0044765","BP",1,"single-organism transport",2,NA,2.58819871718438
"6","purple",TRUE,0.00677,131,567,18,0.032,0.137,"GO:0006836","BP",1,"neurotransmitter transport",3,NA,6.72163829335779
"7","purple",TRUE,0.0337,579,567,44,0.078,0.076,"GO:0046903","BP",1,"secretion",3,NA,4.25987317213148
"8","purple",TRUE,0.0129,137,567,18,0.032,0.131,"GO:0001505","BP",1,"regulation of neurotransmitter levels",1,NA,6.5930209155357
"9","purple",TRUE,0.0349,147,567,18,0.032,0.122,"GO:0051648","BP",1,"vesicle localization",1,NA,6.04829374009403
"10","purple",TRUE,5.91e-05,86,567,17,0.03,0.198,"GO:0097479","BP",1,"synaptic vesicle localization",2,NA,6.68317201252999
"11","purple",TRUE,3.12e-06,780,567,66,0.116,0.085,"GO:0007267","BP",1,"cell-cell signaling",1,NA,4.51789903500038
"12","purple",TRUE,5.05e-10,488,567,56,0.099,0.115,"GO:0007268","BP",1,"synaptic transmission",2,NA,5.246292154622
"13","purple",TRUE,1.87e-05,111,567,20,0.035,0.18,"GO:0050804","BP",1,"modulation of synaptic transmission",3,NA,5.85767338048538
"14","purple",TRUE,0.00189,45,567,11,0.019,0.244,"GO:0048167","BP",1,"regulation of synaptic plasticity",4,NA,6.76164362797149
"15","purple",TRUE,0.0215,142,567,18,0.032,0.127,"GO:0051650","BP",1,"establishment of vesicle localization",1,NA,6.15365425575185
"16","purple",TRUE,4.08e-05,84,567,17,0.03,0.202,"GO:0097480","BP",1,"establishment of synaptic vesicle localization",2,NA,6.76164362797149
"17","purple",TRUE,4.08e-05,84,567,17,0.03,0.202,"GO:0048489","BP",1,"synaptic vesicle transport",3,NA,6.76164362797149
