,size,CRBL,FCTX
CRBL_black,988,NA,21
CRBL_blue,1654,NA,22
CRBL_brown,456,NA,6
CRBL_cyan,919,NA,19
CRBL_darkgrey,1552,NA,8
CRBL_darkred,538,NA,10
CRBL_darkturquoise,736,NA,13
CRBL_green,573,NA,15
CRBL_greenyellow,680,NA,3
CRBL_grey60,861,NA,2
CRBL_lightcyan,850,NA,15
CRBL_lightgreen,553,NA,18
CRBL_lightyellow,322,NA,24
CRBL_magenta,776,NA,6
CRBL_midnightblue,364,NA,2
CRBL_pink,858,NA,16
CRBL_purple,943,NA,20
CRBL_red,581,NA,17
CRBL_royalblue,556,NA,7
CRBL_salmon,733,NA,11
CRBL_tan,1049,NA,9
CRBL_turquoise,2041,NA,13
CRBL_yellow,569,NA,5
FCTX_black,808,22,NA
FCTX_blue,1816,22,NA
FCTX_brown,960,13,NA
FCTX_cyan,586,7,NA
FCTX_darkgreen,634,3,NA
FCTX_darkred,1377,5,NA
FCTX_darkturquoise,550,14,NA
FCTX_green,751,16,NA
FCTX_greenyellow,646,20,NA
FCTX_grey60,468,1,NA
FCTX_lightcyan,601,9,NA
FCTX_lightgreen,707,10,NA
FCTX_lightyellow,669,19,NA
FCTX_magenta,785,11,NA
FCTX_midnightblue,598,2,NA
FCTX_pink,719,21,NA
FCTX_purple,635,16,NA
FCTX_red,877,13,NA
FCTX_royalblue,561,15,NA
FCTX_salmon,560,6,NA
FCTX_tan,580,9,NA
FCTX_turquoise,2545,6,NA
FCTX_yellow,719,9,NA
