"","query.number","significant","p.value","term.size","query.size","overlap.size","recall","precision","term.id","domain","subgraph.number","term.name","relative.depth","intersection","IC"
"1","yellow",TRUE,0.0225,3912,1700,527,0.31,0.135,"GO:0071840","BP",11,"cellular component organization or biogenesis",1,NA,1.96957055877488
"2","yellow",TRUE,0.0336,3851,1700,518,0.305,0.135,"GO:0016043","BP",11,"cellular component organization",2,NA,1.9854398449633
"3","yellow",TRUE,2.41e-07,727,1700,142,0.084,0.195,"GO:0061024","BP",11,"membrane organization",3,NA,4.27843910625402
"4","yellow",TRUE,4.15e-10,3511,1700,530,0.312,0.151,"GO:0051179","BP",11,"localization",1,NA,2.05727472843938
"5","yellow",TRUE,1.72e-15,2908,1700,478,0.281,0.164,"GO:0051234","BP",11,"establishment of localization",2,NA,2.40912987822602
"6","yellow",TRUE,1.87e-16,2847,1700,474,0.279,0.166,"GO:0006810","BP",11,"transport",3,NA,2.45785435879334
"7","yellow",TRUE,0.00341,1457,1700,225,0.132,0.154,"GO:0071702","BP",11,"organic substance transport",4,NA,3.36453623156086
"8","yellow",TRUE,4.62e-09,868,1700,169,0.099,0.195,"GO:0016192","BP",11,"vesicle-mediated transport",4,NA,3.92006203424476
"9","yellow",TRUE,0.000462,1525,1700,239,0.141,0.157,"GO:0033036","BP",11,"macromolecule localization",2,NA,3.18267015188705
"10","yellow",TRUE,0.000147,1311,1700,213,0.125,0.162,"GO:0008104","BP",11,"protein localization",3,NA,3.38733514652567
"11","yellow",TRUE,0.00397,1041,1700,169,0.099,0.162,"GO:0045184","BP",11,"establishment of protein localization",4,NA,3.77513745779079
"12","yellow",TRUE,0.022,952,1700,153,0.09,0.161,"GO:0015031","BP",11,"protein transport",4,NA,3.88957901751968
"13","yellow",TRUE,0.0352,31,1700,13,0.008,0.419,"GO:0033572","BP",11,"transferrin transport",5,NA,9.04402601364802
"14","yellow",TRUE,5.12e-10,1945,1700,325,0.191,0.167,"GO:0051641","BP",11,"cellular localization",2,NA,2.8819751659645
"15","yellow",TRUE,0.0256,1014,1700,161,0.095,0.159,"GO:0070727","BP",11,"cellular macromolecule localization",3,NA,3.74570864709998
"16","yellow",TRUE,0.0194,1009,1700,161,0.095,0.16,"GO:0034613","BP",11,"cellular protein localization",4,NA,3.74771064977065
"17","yellow",TRUE,4.91e-07,252,1700,65,0.038,0.258,"GO:0051640","BP",11,"organelle localization",3,NA,5.21104621556032
"18","yellow",TRUE,1.08e-09,147,1700,50,0.029,0.34,"GO:0051648","BP",11,"vesicle localization",4,NA,6.04829374009403
"19","yellow",TRUE,9.56e-09,86,1700,35,0.021,0.407,"GO:0097479","BP",11,"synaptic vesicle localization",5,NA,6.68317201252999
"20","yellow",TRUE,1.39e-07,207,1700,58,0.034,0.28,"GO:0051656","BP",11,"establishment of organelle localization",4,NA,5.51766548903186
"21","yellow",TRUE,6.34e-09,1702,1700,287,0.169,0.169,"GO:0051649","BP",11,"establishment of localization in cell",3,NA,3.13431396841229
"22","yellow",TRUE,5.78e-06,1254,1700,212,0.125,0.169,"GO:0046907","BP",11,"intracellular transport",4,NA,3.57175533997654
"23","yellow",TRUE,4.09e-09,142,1700,48,0.028,0.338,"GO:0051650","BP",11,"establishment of vesicle localization",4,NA,6.15365425575185
"24","yellow",TRUE,4.21e-09,84,1700,35,0.021,0.417,"GO:0097480","BP",11,"establishment of synaptic vesicle localization",5,NA,6.76164362797149
"25","yellow",TRUE,0.0169,7891,1700,997,0.586,0.126,"GO:0044763","BP",11,"single-organism cellular process",1,NA,0.827073423930956
"26","yellow",TRUE,0.00741,597,1700,106,0.062,0.178,"GO:0044802","BP",11,"single-organism membrane organization",2,NA,4.42495292249093
"27","yellow",TRUE,0.000701,784,1700,137,0.081,0.175,"GO:0030030","BP",11,"cell projection organization",2,NA,3.99802357571447
"28","yellow",TRUE,1.25e-13,2720,1700,445,0.262,0.164,"GO:1902578","BP",11,"single-organism localization",1,NA,2.48980774991368
"29","yellow",TRUE,1.34e-05,832,1700,151,0.089,0.181,"GO:1902580","BP",11,"single-organism cellular localization",2,NA,4.00837295657647
"30","yellow",TRUE,6.88e-14,2606,1700,431,0.254,0.165,"GO:0044765","BP",11,"single-organism transport",2,NA,2.58819871718438
"31","yellow",TRUE,0.00408,85,1700,26,0.015,0.306,"GO:0006818","BP",11,"hydrogen transport",3,NA,7.5624214727238
"32","yellow",TRUE,9.31e-06,1131,1700,194,0.114,0.172,"GO:1902582","BP",11,"single-organism intracellular transport",3,NA,3.70264915763953
"33","yellow",TRUE,0.0306,78,1700,23,0.014,0.295,"GO:0030705","BP",11,"cytoskeleton-dependent intracellular transport",4,NA,6.41935742148486
"34","yellow",TRUE,0.0015,196,1700,47,0.028,0.24,"GO:0048193","BP",11,"Golgi vesicle transport",4,NA,5.68365062650612
"35","yellow",TRUE,0.026,104,1700,28,0.016,0.269,"GO:0006892","BP",11,"post-Golgi vesicle-mediated transport",5,NA,6.62811223534697
"36","yellow",TRUE,0.00016,1006,1700,171,0.101,0.17,"GO:0006811","BP",11,"ion transport",3,NA,3.54931983309459
"37","yellow",TRUE,0.0115,645,1700,112,0.066,0.174,"GO:0006812","BP",11,"cation transport",4,NA,3.96885219841419
"38","yellow",TRUE,0.0294,353,1700,68,0.04,0.193,"GO:0015672","BP",11,"monovalent inorganic cation transport",5,NA,4.7813461366067
"39","yellow",TRUE,0.00869,83,1700,25,0.015,0.301,"GO:0015992","BP",11,"proton transport",6,NA,7.60894148835869
"40","yellow",TRUE,9.54e-05,131,1700,38,0.022,0.29,"GO:0006836","BP",11,"neurotransmitter transport",3,NA,6.72163829335779
"41","yellow",TRUE,4.08e-06,964,1700,172,0.101,0.178,"GO:0055085","BP",11,"transmembrane transport",3,NA,4.1461862136971
"42","yellow",TRUE,0.00023,693,1700,126,0.074,0.182,"GO:0034220","BP",11,"ion transmembrane transport",4,NA,4.27843910625402
"43","yellow",TRUE,0.0412,438,1700,80,0.047,0.183,"GO:0098660","BP",11,"inorganic ion transmembrane transport",5,NA,4.67965431421286
"44","yellow",TRUE,0.0338,422,1700,78,0.046,0.185,"GO:0098655","BP",11,"cation transmembrane transport",5,NA,4.74266728204159
"45","yellow",TRUE,4.21e-09,84,1700,35,0.021,0.417,"GO:0048489","BP",11,"synaptic vesicle transport",3,NA,6.76164362797149
"46","yellow",TRUE,0.00084,1038,1700,172,0.101,0.166,"GO:0051049","BP",11,"regulation of transport",1,NA,3.36727221137973
"47","yellow",TRUE,0.00187,264,1700,58,0.034,0.22,"GO:0060627","BP",11,"regulation of vesicle-mediated transport",2,NA,5.09663586438258
