"InputCategories","UserDefinedCategories","Type","CorrectedPvalues"
"brown","UpWithAlzheimers_Blalock__ADvsCT_inCA1","Brain",4.81101672975896e-09
"greenyellow","tan_M13_Neuron__HumanMeta","Brain",6.52852590291204e-09
"red","Validated_Astrocyte_Bachoo__MO","Brain",8.58430305815113e-09
"greenyellow","purple_downAD_synapticTransmission__Blalock_AD","Brain",1.35074965521499e-08
"lightcyan","Oligodendrocyte_probable__Cahoy","Brain",1.65447182565065e-08
"green","blue_downAD_metalIonTransport_glycoprotein__Blalock_AD","Brain",2.20934852144159e-08
"green","Neuron__ABA","Brain",2.67133366998551e-08
"magenta","brown_pyramidalNeurons_Layer5/basolateralAmygdala__Sugino/Winden","Brain",2.67925766444759e-08
"green","pink_downAD_synapticTransmission__Blalock_AD","Brain",3.00024209413161e-08
"royalblue","Astrocyte_probable__Cahoy","Brain",6.20686708376177e-08
"tan","PostSynapticDensity_proteins__Bayes","Brain",6.67658164487908e-08
"grey60","green_M5_Mitochondria__MouseMeta","Brain",1.19901282662865e-07
"lightcyan","turquoise_M14_Nucleus__HumanMeta","Brain",2.3274160084854e-07
"greenyellow","pink_downAD_synapticTransmission__Blalock_AD","Brain",2.73363682628353e-07
"black","turquoise_M14_Nucleus__HumanMeta","Brain",2.73600385390601e-07
"pink","turquoise_Cerebellum__HumanChimp","Brain",3.66604986711637e-07
"yellow","Oligodendrocyte__ABA","Brain",4.50654894558373e-07
"greenyellow","blue_downAD_metalIonTransport_glycoprotein__Blalock_AD","Brain",6.63898943218875e-07
"darkred","brown_upAging_copperHomeostatisMT1__Lu_Aging","Brain",6.94033706458469e-07
"lightgreen","DownWithAlzheimers_Blalock__ADvsCT_inCA1","Brain",2.21111610782237e-06
"lightcyan","turquoise_upAging_oligo__Lu_Aging","Brain",2.6652099519382e-06
"greenyellow","greenyellow_M6_GlutatmatergicSynapse__MouseMeta","Brain",3.11762919856344e-06
"magenta","Oligodendrocyte_probable__Cahoy","Brain",3.20358518955426e-06
"tan","yellow_M18__CTX","Brain",3.34333579068236e-06
"greenyellow","blue_downAging_mitochondria_synapse__Lu_Aging","Brain",3.72465490791673e-06
"green","tan_M13_Neuron__HumanMeta","Brain",4.38519338856698e-06
"lightyellow","Neuron_probable__Cahoy","Brain",5.63408630788485e-06
"red","PostSynapticDensity_proteins__Bayes","Brain",5.74533048798974e-06
"midnightblue","mutationMouseOrHumanOrBoth__JAXdiseaseGene","Brain",5.99158243345837e-06
"salmon","yellow_noChangeAD_antigenProcessing_ribosome__Blalock_AD","Brain",7.51309413092378e-06
"green","green_M10_GlutamatergicSynapticFunction__CTX","Brain",8.40342003013497e-06
"salmon","Astrocyte_probable__Cahoy","Brain",8.48418574892216e-06
"midnightblue","upMGactivagtion_GSE1910__MicrogialMarkers","Brain",1.67492568864422e-05
"lightgreen","turquoise_Cerebellum__HumanChimp","Brain",1.80633030844495e-05
"brown","PostSynapticDensity_proteins__Bayes","Brain",2.11575167080944e-05
"royalblue","UpWithAlzheimers_Blalock__ADvsCT_inCA1","Brain",2.47732970712727e-05
"cyan","tan_M13_Neuron__HumanMeta","Brain",2.63228303713342e-05
"green","CA3specific_Newrzella__CA1vsCA3","Brain",2.90559225000684e-05
"pink","turquoise_M14_Nucleus__HumanMeta","Brain",3.31942113702891e-05
"green","PresynapticCompartmentProteins_Morciano__MO","Brain",3.40576197123263e-05
"tan","blue_Cortex__HumanChimp","Brain",3.76826687628932e-05
"brown","blue_downAD_metalIonTransport_glycoprotein__Blalock_AD","Brain",4.22068430742011e-05
"midnightblue","upInHippocampus__EarlyAD","Brain",5.21258810127797e-05
"red","turquoise_upAging_oligo__Lu_Aging","Brain",5.30504840051706e-05
"midnightblue","orange_M5_Microglia(Type2)__CTX","Brain",8.33373964552405e-05
"magenta","turquoise_CingulateNeurons(allTypes)/Layer5__Sugino/Winden","Brain",0.000119876150153991
"purple","turquoise_Cerebellum__HumanChimp","Brain",0.000133941337600973
"magenta","turquoise_M14_Nucleus__HumanMeta","Brain",0.000151700312985095
"salmon","turquoise_M14_Nucleus__MouseMeta","Brain",0.00018053137774183
"cyan","GlutamatergicNeuronsInMouseCortex_Sugino__MO","Brain",0.000184656137352036
"salmon","black_M11__CTX","Brain",0.000262304745549566
"brown","GABAergicNeuronsInMouseCortex_Sugino__MO","Brain",0.000264880901441128
"tan","Oligodendrocyte_probable__Cahoy","Brain",0.000302448131826874
"greenyellow","DownWithAlzheimers_Liang__ADvsCT_inCA1","Brain",0.000304731572942288
"green","GlutamatergicNeuronsInMouseCortex_Sugino__MO","Brain",0.000328426722117707
"green","greenyellow_M6_GlutatmatergicSynapse__MouseMeta","Brain",0.000341241924276001
"greenyellow","blue_Cortex__HumanChimp","Brain",0.000408871462313855
"tan","blue_downAging_mitochondria_synapse__Lu_Aging","Brain",0.000452780836347768
"tan","Synaptic__MitochondrialType","Brain",0.0004971879606675
"royalblue","mutationMouseOrHumanOrBoth__JAXdiseaseGene","Brain",0.000525550508346117
"cyan","CA1specific_Newrzella__CA1vsCA3","Brain",0.000559518254923621
"cyan","magenta_downAD_synapticTransmission__Blalock_AD","Brain",0.000581500191982666
"darkred","red_ACCandCaudate__HumanChimp","Brain",0.0006145164262007
"grey60","Up_CD40_stimulation_in_MG_AitGhezala__MicrogialMarkers","Brain",0.000648789576045079
"magenta","PostSynapticDensity_proteins__Bayes","Brain",0.000668503541236095
"greenyellow","CA3specific_Newrzella__CA1vsCA3","Brain",0.000689165724828661
"lightcyan","UpWithAlzheimers_Blalock__ADvsCT_inCA1","Brain",0.000708143864237826
"brown","Astrocyte_probable__Cahoy","Brain",0.00123762517698406
"greenyellow","GlutamatergicNeuronsInMouseCortex_Sugino__MO","Brain",0.00185774270666988
"lightyellow","Neuron_definite__Cahoy","Brain",0.00187389469620377
"green","Somatic__MitochondrialType","Brain",0.0022548810127617
"lightcyan","turquoise_M14_Nucleus__MouseMeta","Brain",0.00239061198007593
"cyan","brown_Cortex__HumanChimp","Brain",0.00270570033250039
"cyan","Autism_differential_expression_across_at_least_one_comparison__Voineagu","Brain",0.00325187294752199
"greenyellow","green_M10_GlutamatergicSynapticFunction__CTX","Brain",0.00521898302507953
"red","Autism_differential_expression_across_at_least_one_comparison__Voineagu","Brain",0.00524641026834973
"lightgreen","tan_M13_Neuron__HumanMeta","Brain",0.00527159220451726
