,tissue,color,size,PUTM,TCTX
PUTM_black,PUTM,black,867,NA,26.8654365376849
PUTM_blue,PUTM,blue,1028,NA,27.1533231536198
PUTM_brown,PUTM,brown,1090,NA,61.1092581841097
PUTM_cyan,PUTM,cyan,524,NA,5.93865332030611
PUTM_green,PUTM,green,725,NA,55.8964253527918
PUTM_greenyellow,PUTM,greenyellow,362,NA,18.033509900903
PUTM_grey60,PUTM,grey60,794,NA,11.949996195726
PUTM_lightcyan,PUTM,lightcyan,736,NA,19.3469271439418
PUTM_lightgreen,PUTM,lightgreen,849,NA,15.6065441511165
PUTM_lightyellow,PUTM,lightyellow,2271,NA,12.5893795848135
PUTM_magenta,PUTM,magenta,694,NA,24.2106990081847
PUTM_midnightblue,PUTM,midnightblue,652,NA,15.6721962352778
PUTM_pink,PUTM,pink,590,NA,41.8015155457122
PUTM_purple,PUTM,purple,644,NA,16.7237145441402
PUTM_red,PUTM,red,1149,NA,66.1524148317363
PUTM_royalblue,PUTM,royalblue,1455,NA,4.80946461674741
PUTM_salmon,PUTM,salmon,551,NA,8.00405438084807
PUTM_tan,PUTM,tan,366,NA,25.4012637345058
PUTM_turquoise,PUTM,turquoise,2709,NA,72.8058081871345
PUTM_yellow,PUTM,yellow,1096,NA,9.34992566657641
TCTX_black,TCTX,black,898,19.5254036866077,NA
TCTX_blue,TCTX,blue,1556,78.82559930662,NA
TCTX_brown,TCTX,brown,883,27.4313870776808,NA
TCTX_cyan,TCTX,cyan,647,16.6501681219914,NA
TCTX_darkgreen,TCTX,darkgreen,518,15.9321062933504,NA
TCTX_darkred,TCTX,darkred,844,16.1082696890897,NA
TCTX_darkturquoise,TCTX,darkturquoise,687,9.5502365565419,NA
TCTX_green,TCTX,green,896,26.066238443126,NA
TCTX_greenyellow,TCTX,greenyellow,738,18.5166857867914,NA
TCTX_grey60,TCTX,grey60,622,20.0531295183685,NA
TCTX_lightcyan,TCTX,lightcyan,647,17.5530726606009,NA
TCTX_lightgreen,TCTX,lightgreen,774,16.9274723817151,NA
TCTX_lightyellow,TCTX,lightyellow,699,21.4989188005425,NA
TCTX_magenta,TCTX,magenta,906,39.28615272846,NA
TCTX_midnightblue,TCTX,midnightblue,794,18.8841665485478,NA
TCTX_pink,TCTX,pink,893,4.05685972278811,NA
TCTX_purple,TCTX,purple,800,33.3899155878675,NA
TCTX_red,TCTX,red,1607,47.9054639628345,NA
TCTX_salmon,TCTX,salmon,683,28.4145418159757,NA
TCTX_tan,TCTX,tan,722,13.2721094433457,NA
TCTX_turquoise,TCTX,turquoise,1565,62.8933955154047,NA
TCTX_yellow,TCTX,yellow,773,44.9881582183562,NA
