,size,FCTX,SNIG
FCTX_black,808,NA,20
FCTX_blue,1816,NA,16
FCTX_brown,960,NA,6
FCTX_cyan,586,NA,9
FCTX_darkgreen,634,NA,17
FCTX_darkred,1377,NA,2
FCTX_darkturquoise,550,NA,8
FCTX_green,751,NA,8
FCTX_greenyellow,646,NA,15
FCTX_grey60,468,NA,1
FCTX_lightcyan,601,NA,13
FCTX_lightgreen,707,NA,21
FCTX_lightyellow,669,NA,20
FCTX_magenta,785,NA,11
FCTX_midnightblue,598,NA,15
FCTX_pink,719,NA,20
FCTX_purple,635,NA,5
FCTX_red,877,NA,3
FCTX_royalblue,561,NA,19
FCTX_salmon,560,NA,23
FCTX_tan,580,NA,16
FCTX_turquoise,2545,NA,10
FCTX_yellow,719,NA,11
SNIG_black,1016,10,NA
SNIG_blue,2459,5,NA
SNIG_brown,1083,12,NA
SNIG_cyan,1193,14,NA
SNIG_green,1465,5,NA
SNIG_greenyellow,1439,5,NA
SNIG_magenta,1117,12,NA
SNIG_pink,1294,6,NA
SNIG_purple,625,3,NA
SNIG_red,1435,9,NA
SNIG_salmon,1091,8,NA
SNIG_turquoise,2953,1,NA
SNIG_yellow,1982,5,NA
