"","query.number","significant","p.value","term.size","query.size","overlap.size","recall","precision","term.id","domain","subgraph.number","term.name","relative.depth","intersection","IC"
"790","lightcyan",TRUE,3.11e-05,1570,730,127,0.174,0.081,"GO:0009892","BP",5,"negative regulation of metabolic process",4,NA,2.89427648757432
"791","lightcyan",TRUE,7.34e-06,1422,730,120,0.164,0.084,"GO:0010605","BP",5,"negative regulation of macromolecule metabolic process",5,NA,3.09651335406922
"792","lightcyan",TRUE,4.61e-06,909,730,87,0.119,0.096,"GO:0010629","BP",5,"negative regulation of gene expression",6,NA,3.59041576269394
"793","lightcyan",TRUE,9.9e-06,894,730,85,0.116,0.095,"GO:0009890","BP",5,"negative regulation of biosynthetic process",5,NA,3.60507751736023
"794","lightcyan",TRUE,2.07e-06,851,730,84,0.115,0.099,"GO:0010558","BP",5,"negative regulation of macromolecule biosynthetic process",6,NA,3.67245818536039
"795","lightcyan",TRUE,5.65e-16,2329,730,209,0.286,0.09,"GO:0051171","BP",5,"regulation of nitrogen compound metabolic process",4,NA,2.52252162385024
"796","lightcyan",TRUE,4.97e-07,898,730,89,0.122,0.099,"GO:0051172","BP",5,"negative regulation of nitrogen compound metabolic process",5,NA,3.67618258445137
"797","lightcyan",TRUE,4.79e-13,3411,730,265,0.363,0.078,"GO:0031323","BP",5,"regulation of cellular metabolic process",4,NA,1.89332455605549
"798","lightcyan",TRUE,7.35e-15,2237,730,200,0.274,0.089,"GO:0031326","BP",5,"regulation of cellular biosynthetic process",5,NA,2.50965594931063
"799","lightcyan",TRUE,5.62e-15,2044,730,188,0.258,0.092,"GO:2000112","BP",5,"regulation of cellular macromolecule biosynthetic process",6,NA,2.61786123316354
"800","lightcyan",TRUE,4.12e-14,2145,730,192,0.263,0.09,"GO:0019219","BP",5,"regulation of nucleobase-containing compound metabolic process",5,NA,2.54363765006364
"801","lightcyan",TRUE,5.38e-13,1961,730,177,0.242,0.09,"GO:0051252","BP",5,"regulation of RNA metabolic process",6,NA,2.64709635843187
"802","lightcyan",TRUE,2.2e-12,1880,730,170,0.233,0.09,"GO:2001141","BP",5,"regulation of RNA biosynthetic process",7,NA,2.70401950583149
"803","lightcyan",TRUE,3.85e-12,1860,730,168,0.23,0.09,"GO:1903506","BP",5,"regulation of nucleic acid-templated transcription",8,NA,2.71930869254579
"804","lightcyan",TRUE,2.22e-11,1833,730,164,0.225,0.089,"GO:0006355","BP",5,"regulation of transcription, DNA-templated",9,NA,2.72722240291115
"805","lightcyan",TRUE,3.12e-05,1082,730,96,0.132,0.089,"GO:0006357","BP",5,"regulation of transcription from RNA polymerase II promoter",10,NA,3.42145359441736
"806","lightcyan",TRUE,5.51e-05,1392,730,115,0.158,0.083,"GO:0031324","BP",5,"negative regulation of cellular metabolic process",5,NA,3.0641281029115
"807","lightcyan",TRUE,4.92e-06,881,730,85,0.116,0.096,"GO:0031327","BP",5,"negative regulation of cellular biosynthetic process",6,NA,3.62881489562848
"808","lightcyan",TRUE,1.2e-06,799,730,81,0.111,0.101,"GO:2000113","BP",5,"negative regulation of cellular macromolecule biosynthetic process",7,NA,3.74570864709998
"809","lightcyan",TRUE,6.81e-07,832,730,84,0.115,0.101,"GO:0045934","BP",5,"negative regulation of nucleobase-containing compound metabolic process",6,NA,3.69691848293055
"810","lightcyan",TRUE,4.92e-06,766,730,77,0.105,0.101,"GO:0051253","BP",5,"negative regulation of RNA metabolic process",7,NA,3.79280025463383
"811","lightcyan",TRUE,3.31e-05,742,730,73,0.1,0.098,"GO:1902679","BP",5,"negative regulation of RNA biosynthetic process",8,NA,3.83782393600779
"812","lightcyan",TRUE,4.23e-05,732,730,72,0.099,0.098,"GO:1903507","BP",5,"negative regulation of nucleic acid-templated transcription",9,NA,3.86449218308995
"813","lightcyan",TRUE,4.91e-05,706,730,70,0.096,0.099,"GO:0045892","BP",5,"negative regulation of transcription, DNA-templated",10,NA,3.8792400397245
"814","lightcyan",TRUE,0.00131,412,730,45,0.062,0.109,"GO:0000122","BP",5,"negative regulation of transcription from RNA polymerase II promoter",11,NA,4.59902457981275
"815","lightcyan",TRUE,0.0437,1090,730,85,0.116,0.078,"GO:0051173","BP",5,"positive regulation of nitrogen compound metabolic process",1,NA,3.32765642348634
"816","lightcyan",TRUE,0.0456,695,730,60,0.082,0.086,"GO:0044265","BP",5,"cellular macromolecule catabolic process",1,NA,4.23673164356979
"817","lightcyan",TRUE,0.0291,11021,730,595,0.815,0.054,"GO:0005575","CC",3,"cellular_component",1,NA,0
"818","lightcyan",TRUE,8.15e-13,8097,730,507,0.695,0.063,"GO:0043226","CC",3,"organelle",2,NA,0.565605514134331
"819","lightcyan",TRUE,0.000938,2106,730,153,0.21,0.073,"GO:0043228","CC",3,"non-membrane-bounded organelle",3,NA,2.22146940343162
"820","lightcyan",TRUE,1.08e-12,7579,730,482,0.66,0.064,"GO:0043227","CC",3,"membrane-bounded organelle",3,NA,0.734472452582356
"821","lightcyan",TRUE,0.000231,2930,730,203,0.278,0.069,"GO:0032991","CC",3,"macromolecular complex",2,NA,1.98185141259867
"822","lightcyan",TRUE,0.027,2479,730,167,0.229,0.067,"GO:0043234","CC",3,"protein complex",3,NA,2.23278970177206
"823","lightcyan",TRUE,5.43e-05,9915,730,559,0.766,0.056,"GO:0005623","CC",3,"cell",2,NA,0.275255071864458
"824","lightcyan",TRUE,1.68e-13,3264,730,258,0.353,0.079,"GO:0031974","CC",3,"membrane-enclosed lumen",2,NA,2.11753978628716
"825","lightcyan",TRUE,1.34e-12,5353,730,370,0.507,0.069,"GO:0044422","CC",3,"organelle part",2,NA,1.39654167757144
"826","lightcyan",TRUE,1.77e-13,3231,730,256,0.351,0.079,"GO:0043233","CC",3,"organelle lumen",3,NA,2.12773692576892
"827","lightcyan",TRUE,3.48e-05,9895,730,559,0.766,0.056,"GO:0044464","CC",3,"cell part",2,NA,0.27551579406643
"828","lightcyan",TRUE,3.88e-17,8662,730,547,0.749,0.063,"GO:0005622","CC",3,"intracellular",3,NA,0.458202476180666
"829","lightcyan",TRUE,5.07e-19,8495,730,545,0.747,0.064,"GO:0044424","CC",3,"intracellular part",4,NA,0.465375469578815
"830","lightcyan",TRUE,0.0162,6627,730,387,0.53,0.058,"GO:0005737","CC",3,"cytoplasm",5,NA,1.19900315497263
"831","lightcyan",TRUE,1.65e-17,7076,730,474,0.649,0.067,"GO:0043229","CC",3,"intracellular organelle",5,NA,0.76882230233395
"832","lightcyan",TRUE,0.000938,2106,730,153,0.21,0.073,"GO:0043232","CC",3,"intracellular non-membrane-bounded organelle",6,NA,2.22146940343162
"833","lightcyan",TRUE,0.00136,426,730,46,0.063,0.108,"GO:0005694","CC",3,"chromosome",7,NA,3.76526657307003
"834","lightcyan",TRUE,3.95e-13,5240,730,366,0.501,0.07,"GO:0044446","CC",3,"intracellular organelle part",6,NA,1.42975381177755
"835","lightcyan",TRUE,0.000393,395,730,45,0.062,0.114,"GO:0044427","CC",3,"chromosomal part",7,NA,3.8992050489487
"836","lightcyan",TRUE,0.00027,241,730,33,0.045,0.137,"GO:0000785","CC",3,"chromatin",8,NA,4.50506944527078
"837","lightcyan",TRUE,5.86e-14,3187,730,255,0.349,0.08,"GO:0070013","CC",3,"intracellular organelle lumen",7,NA,2.12801397245305
"838","lightcyan",TRUE,2.55e-17,6479,730,444,0.608,0.069,"GO:0043231","CC",3,"intracellular membrane-bounded organelle",6,NA,0.948868868810718
"839","lightcyan",TRUE,4.86e-21,4007,730,324,0.444,0.081,"GO:0005634","CC",3,"nucleus",7,NA,1.45008311116636
"840","lightcyan",TRUE,7.19e-18,2920,730,251,0.344,0.086,"GO:0044428","CC",3,"nuclear part",8,NA,1.96995217652905
"841","lightcyan",TRUE,6.05e-17,2718,730,236,0.323,0.087,"GO:0031981","CC",3,"nuclear lumen",9,NA,2.17539200032436
"842","lightcyan",TRUE,6.22e-17,2334,730,212,0.29,0.091,"GO:0005654","CC",3,"nucleoplasm",9,NA,2.53472674135937
"843","lightcyan",TRUE,0.000251,10878,730,599,0.821,0.055,"GO:0003674","MF",4,"molecular_function",1,NA,0
"844","lightcyan",TRUE,0.00193,702,730,65,0.089,0.093,"GO:0001071","MF",4,"nucleic acid binding transcription factor activity",2,NA,3.87815913911736
"845","lightcyan",TRUE,0.00193,702,730,65,0.089,0.093,"GO:0003700","MF",4,"transcription factor activity, sequence-specific DNA binding",3,NA,3.88363860488198
"846","lightcyan",TRUE,2.28e-06,8799,730,514,0.704,0.058,"GO:0005488","MF",4,"binding",2,NA,0.278529033833506
"847","lightcyan",TRUE,8.84e-13,2320,730,199,0.273,0.086,"GO:1901363","MF",4,"heterocyclic compound binding",3,NA,2.0671567429894
"848","lightcyan",TRUE,0.00122,7841,730,454,0.622,0.058,"GO:0005515","MF",4,"protein binding",3,NA,0.556417711578738
