,size,HIPP,SNIG
HIPP_black,630,NA,6
HIPP_blue,972,NA,19
HIPP_brown,710,NA,31
HIPP_cyan,527,NA,4
HIPP_darkgreen,373,NA,5
HIPP_darkgrey,402,NA,32
HIPP_darkorange,397,NA,9
HIPP_darkred,321,NA,30
HIPP_darkturquoise,346,NA,29
HIPP_green,455,NA,13
HIPP_greenyellow,441,NA,12
HIPP_grey60,607,NA,11
HIPP_lightcyan,597,NA,18
HIPP_lightgreen,1530,NA,15
HIPP_lightyellow,492,NA,1
HIPP_magenta,481,NA,28
HIPP_midnightblue,332,NA,31
HIPP_orange,525,NA,25
HIPP_paleturquoise,407,NA,24
HIPP_pink,433,NA,23
HIPP_purple,427,NA,22
HIPP_red,435,NA,26
HIPP_royalblue,675,NA,17
HIPP_saddlebrown,1296,NA,2
HIPP_salmon,351,NA,31
HIPP_skyblue,408,NA,8
HIPP_steelblue,503,NA,11
HIPP_tan,420,NA,6
HIPP_turquoise,2119,NA,11
HIPP_violet,365,NA,16
HIPP_white,551,NA,12
HIPP_yellow,624,NA,18
SNIG_black,1016,10,NA
SNIG_blue,2459,9,NA
SNIG_brown,1083,12,NA
SNIG_cyan,1193,14,NA
SNIG_green,1465,1,NA
SNIG_greenyellow,1439,7,NA
SNIG_magenta,1117,13,NA
SNIG_pink,1294,6,NA
SNIG_purple,625,2,NA
SNIG_red,1435,5,NA
SNIG_salmon,1091,8,NA
SNIG_turquoise,2953,4,NA
SNIG_yellow,1982,3,NA
