,tissue,color,size,MEDU,TCTX
MEDU_black,MEDU,black,799,NA,29.9839005425462
MEDU_blue,MEDU,blue,1723,NA,47.5608493661984
MEDU_brown,MEDU,brown,933,NA,27.488297438057
MEDU_cyan,MEDU,cyan,1552,NA,15.7223975710215
MEDU_green,MEDU,green,909,NA,7.1114428855329
MEDU_greenyellow,MEDU,greenyellow,972,NA,33.5435587113645
MEDU_grey60,MEDU,grey60,794,NA,4.6964933712236
MEDU_lightcyan,MEDU,lightcyan,900,NA,50.3526465877737
MEDU_lightgreen,MEDU,lightgreen,922,NA,11.1998121230151
MEDU_lightyellow,MEDU,lightyellow,815,NA,11.8283081263766
MEDU_midnightblue,MEDU,midnightblue,911,NA,3.41004511164443
MEDU_pink,MEDU,pink,457,NA,20.1227270859658
MEDU_purple,MEDU,purple,1275,NA,29.0106303168431
MEDU_red,MEDU,red,1087,NA,37.2838147654837
MEDU_tan,MEDU,tan,1421,NA,9.59580372070448
MEDU_turquoise,MEDU,turquoise,2429,NA,92.8016290010429
MEDU_yellow,MEDU,yellow,1253,NA,45.8625405731592
TCTX_black,TCTX,black,898,19.437562261535,NA
TCTX_blue,TCTX,blue,1556,57.8648766268353,NA
TCTX_brown,TCTX,brown,883,34.7527346180574,NA
TCTX_cyan,TCTX,cyan,647,29.1052693774469,NA
TCTX_darkgreen,TCTX,darkgreen,518,16.4698794016638,NA
TCTX_darkred,TCTX,darkred,844,22.742929488946,NA
TCTX_darkturquoise,TCTX,darkturquoise,687,15.3700028657782,NA
TCTX_green,TCTX,green,896,46.0468674098373,NA
TCTX_greenyellow,TCTX,greenyellow,738,20.190106791516,NA
TCTX_grey60,TCTX,grey60,622,22.7906629480157,NA
TCTX_lightcyan,TCTX,lightcyan,647,15.8673867958756,NA
TCTX_lightgreen,TCTX,lightgreen,774,19.0445536450909,NA
TCTX_lightyellow,TCTX,lightyellow,699,23.7714656398114,NA
TCTX_magenta,TCTX,magenta,906,50.136807988979,NA
TCTX_midnightblue,TCTX,midnightblue,794,36.5787399005731,NA
TCTX_pink,TCTX,pink,893,23.2052860936069,NA
TCTX_purple,TCTX,purple,800,29.9239101947275,NA
TCTX_red,TCTX,red,1607,29.9873207712002,NA
TCTX_salmon,TCTX,salmon,683,30.8742093553452,NA
TCTX_tan,TCTX,tan,722,9.36206890434183,NA
TCTX_turquoise,TCTX,turquoise,1565,50.6316780643572,NA
TCTX_yellow,TCTX,yellow,773,75.6040246850371,NA
