,size,FCTX,THAL
FCTX_black,808,NA,21
FCTX_blue,1816,NA,18
FCTX_brown,960,NA,4
FCTX_cyan,586,NA,7
FCTX_darkgreen,634,NA,17
FCTX_darkred,1377,NA,3
FCTX_darkturquoise,550,NA,8
FCTX_green,751,NA,2
FCTX_greenyellow,646,NA,12
FCTX_grey60,468,NA,1
FCTX_lightcyan,601,NA,13
FCTX_lightgreen,707,NA,22
FCTX_lightyellow,669,NA,17
FCTX_magenta,785,NA,12
FCTX_midnightblue,598,NA,14
FCTX_pink,719,NA,21
FCTX_purple,635,NA,7
FCTX_red,877,NA,6
FCTX_royalblue,561,NA,16
FCTX_salmon,560,NA,20
FCTX_tan,580,NA,15
FCTX_turquoise,2545,NA,11
FCTX_yellow,719,NA,9
THAL_black,1308,9,NA
THAL_blue,2188,6,NA
THAL_brown,1284,15,NA
THAL_cyan,729,18,NA
THAL_darkgreen,838,8,NA
THAL_darkred,1017,11,NA
THAL_greenyellow,458,20,NA
THAL_grey60,475,17,NA
THAL_lightcyan,1133,7,NA
THAL_lightgreen,966,5,NA
THAL_lightyellow,493,14,NA
THAL_magenta,746,17,NA
THAL_midnightblue,306,3,NA
THAL_pink,1035,11,NA
THAL_red,1241,4,NA
THAL_salmon,426,1,NA
THAL_tan,808,16,NA
THAL_turquoise,3072,2,NA
THAL_yellow,629,12,NA
