,size,CRBL,TCTX
CRBL_black,988,NA,19
CRBL_blue,1654,NA,21
CRBL_brown,456,NA,9
CRBL_cyan,919,NA,18
CRBL_darkgrey,1552,NA,9
CRBL_darkred,538,NA,5
CRBL_darkturquoise,736,NA,14
CRBL_green,573,NA,12
CRBL_greenyellow,680,NA,3
CRBL_grey60,861,NA,11
CRBL_lightcyan,850,NA,14
CRBL_lightgreen,553,NA,15
CRBL_lightyellow,322,NA,24
CRBL_magenta,776,NA,5
CRBL_midnightblue,364,NA,2
CRBL_pink,858,NA,17
CRBL_purple,943,NA,21
CRBL_red,581,NA,11
CRBL_royalblue,556,NA,7
CRBL_salmon,733,NA,13
CRBL_tan,1049,NA,5
CRBL_turquoise,2041,NA,16
CRBL_yellow,569,NA,10
TCTX_black,898,18,NA
TCTX_blue,1556,6,NA
TCTX_brown,883,17,NA
TCTX_cyan,647,17,NA
TCTX_darkgreen,518,8,NA
TCTX_darkred,844,1,NA
TCTX_darkturquoise,687,6,NA
TCTX_green,896,16,NA
TCTX_greenyellow,738,5,NA
TCTX_grey60,622,11,NA
TCTX_lightcyan,647,17,NA
TCTX_lightgreen,774,10,NA
TCTX_lightyellow,699,14,NA
TCTX_magenta,906,3,NA
TCTX_midnightblue,794,4,NA
TCTX_pink,893,23,NA
TCTX_purple,800,10,NA
TCTX_red,1607,11,NA
TCTX_salmon,683,6,NA
TCTX_tan,722,21,NA
TCTX_turquoise,1565,12,NA
TCTX_yellow,773,12,NA
