,tissue,color,size,PUTM,SNIG
PUTM_black,PUTM,black,867,NA,24.378439803891
PUTM_blue,PUTM,blue,1028,NA,30.3500988541743
PUTM_brown,PUTM,brown,1090,NA,63.3872183437525
PUTM_cyan,PUTM,cyan,524,NA,3.59309415544408
PUTM_green,PUTM,green,725,NA,48.8915790903039
PUTM_greenyellow,PUTM,greenyellow,362,NA,12.0151865481061
PUTM_grey60,PUTM,grey60,794,NA,10.4431992162691
PUTM_lightcyan,PUTM,lightcyan,736,NA,18.3542399669381
PUTM_lightgreen,PUTM,lightgreen,849,NA,9.28263244164859
PUTM_lightyellow,PUTM,lightyellow,2271,NA,13.2480057737397
PUTM_magenta,PUTM,magenta,694,NA,16.0038377186748
PUTM_midnightblue,PUTM,midnightblue,652,NA,4.17238865414963
PUTM_pink,PUTM,pink,590,NA,32.7064489635717
PUTM_purple,PUTM,purple,644,NA,13.2182492261381
PUTM_red,PUTM,red,1149,NA,37.783466771361
PUTM_royalblue,PUTM,royalblue,1455,NA,3.13056702943645
PUTM_salmon,PUTM,salmon,551,NA,2.45653693759063
PUTM_tan,PUTM,tan,366,NA,27.7444161071122
PUTM_turquoise,PUTM,turquoise,2709,NA,68.3424650698712
PUTM_yellow,PUTM,yellow,1096,NA,5.12249449740031
SNIG_black,SNIG,black,1016,16.5016761393161,NA
SNIG_blue,SNIG,blue,2459,53.7363573885818,NA
SNIG_brown,SNIG,brown,1083,16.729978540891,NA
SNIG_cyan,SNIG,cyan,1193,4.13396416197071,NA
SNIG_green,SNIG,green,1465,43.8266508160242,NA
SNIG_greenyellow,SNIG,greenyellow,1439,16.6002741672258,NA
SNIG_magenta,SNIG,magenta,1117,3.19500330296209,NA
SNIG_pink,SNIG,pink,1294,21.5245664372825,NA
SNIG_purple,SNIG,purple,625,18.4301580243134,NA
SNIG_red,SNIG,red,1435,26.9305207555053,NA
SNIG_salmon,SNIG,salmon,1091,4.59717769621539,NA
SNIG_turquoise,SNIG,turquoise,2953,95.9522847225735,NA
SNIG_yellow,SNIG,yellow,1982,34.7219454160465,NA
