,tissue,color,size,MEDU,SNIG
MEDU_black,MEDU,black,799,NA,34.6855422948012
MEDU_blue,MEDU,blue,1723,NA,48.2531300404932
MEDU_brown,MEDU,brown,933,NA,32.4076435506542
MEDU_cyan,MEDU,cyan,1552,NA,22.7208404476976
MEDU_green,MEDU,green,909,NA,6.19054376614522
MEDU_greenyellow,MEDU,greenyellow,972,NA,39.1895518694983
MEDU_grey60,MEDU,grey60,794,NA,6.77552203863477
MEDU_lightcyan,MEDU,lightcyan,900,NA,34.9396464601667
MEDU_lightgreen,MEDU,lightgreen,922,NA,10.5329520052122
MEDU_lightyellow,MEDU,lightyellow,815,NA,11.3224009440604
MEDU_midnightblue,MEDU,midnightblue,911,NA,15.9850327129565
MEDU_pink,MEDU,pink,457,NA,15.5665912542521
MEDU_purple,MEDU,purple,1275,NA,23.8526599676716
MEDU_red,MEDU,red,1087,NA,31.1134920791775
MEDU_tan,MEDU,tan,1421,NA,12.5331322069654
MEDU_turquoise,MEDU,turquoise,2429,NA,90.1157487946318
MEDU_yellow,MEDU,yellow,1253,NA,60.1313403683819
SNIG_black,SNIG,black,1016,28.7536032904869,NA
SNIG_blue,SNIG,blue,2459,38.1330512342403,NA
SNIG_brown,SNIG,brown,1083,25.329056007808,NA
SNIG_cyan,SNIG,cyan,1193,5.04652965867543,NA
SNIG_green,SNIG,green,1465,81.6094275359701,NA
SNIG_greenyellow,SNIG,greenyellow,1439,19.275298002893,NA
SNIG_magenta,SNIG,magenta,1117,25.3051218541957,NA
SNIG_pink,SNIG,pink,1294,29.2672846545712,NA
SNIG_purple,SNIG,purple,625,42.446821790807,NA
SNIG_red,SNIG,red,1435,36.8303446107507,NA
SNIG_salmon,SNIG,salmon,1091,23.6387234570109,NA
SNIG_turquoise,SNIG,turquoise,2953,74.323834841549,NA
SNIG_yellow,SNIG,yellow,1982,75.0937013448595,NA
