,size,CRBL,PUTM
CRBL_black,988,NA,19
CRBL_blue,1654,NA,19
CRBL_brown,456,NA,8
CRBL_cyan,919,NA,15
CRBL_darkgrey,1552,NA,3
CRBL_darkred,538,NA,13
CRBL_darkturquoise,736,NA,10
CRBL_green,573,NA,15
CRBL_greenyellow,680,NA,4
CRBL_grey60,861,NA,5
CRBL_lightcyan,850,NA,14
CRBL_lightgreen,553,NA,14
CRBL_lightyellow,322,NA,24
CRBL_magenta,776,NA,11
CRBL_midnightblue,364,NA,2
CRBL_pink,858,NA,17
CRBL_purple,943,NA,22
CRBL_red,581,NA,19
CRBL_royalblue,556,NA,3
CRBL_salmon,733,NA,12
CRBL_tan,1049,NA,10
CRBL_turquoise,2041,NA,7
CRBL_yellow,569,NA,9
PUTM_black,867,11,NA
PUTM_blue,1028,19,NA
PUTM_brown,1090,13,NA
PUTM_cyan,524,18,NA
PUTM_green,725,6,NA
PUTM_greenyellow,362,4,NA
PUTM_grey60,794,15,NA
PUTM_lightcyan,736,11,NA
PUTM_lightgreen,849,14,NA
PUTM_lightyellow,2271,5,NA
PUTM_magenta,694,3,NA
PUTM_midnightblue,652,8,NA
PUTM_pink,590,3,NA
PUTM_purple,644,14,NA
PUTM_red,1149,7,NA
PUTM_royalblue,1455,16,NA
PUTM_salmon,551,20,NA
PUTM_tan,366,1,NA
PUTM_turquoise,2709,9,NA
PUTM_yellow,1096,21,NA
