"InputCategories","UserDefinedCategories","Type","CorrectedPvalues"
"green","Autism_differential_expression_across_at_least_one_comparison__Voineagu","Brain",2.10033749082419e-09
"lightgreen","brown_pyramidalNeurons_Layer5/basolateralAmygdala__Sugino/Winden","Brain",2.55408216770002e-09
"magenta","pink_downAD_synapticTransmission__Blalock_AD","Brain",3.23770490129843e-09
"green","brown_downAD_mitochondrion__Blalock_AD","Brain",3.80081345560114e-09
"lightcyan","green_M10_GlutamatergicSynapticFunction__CTX","Brain",4.14472170857875e-09
"green","Somatic__MitochondrialType","Brain",6.4597646922071e-09
"green","blue_downAging_mitochondria_synapse__Lu_Aging","Brain",8.15799223140866e-09
"green","blue_Cortex__HumanChimp","Brain",9.51760480574487e-09
"salmon","turquoise_M14_Nucleus__HumanMeta","Brain",1.07268275321416e-08
"green","Synaptic__MitochondrialType","Brain",1.37390411844784e-08
"lightyellow","tan_M13_Neuron__HumanMeta","Brain",1.40215220427914e-08
"lightyellow","blue_Cortex__HumanChimp","Brain",1.51496311714121e-08
"brown","Autism_differential_expression_across_at_least_one_comparison__Voineagu","Brain",2.51771886554957e-08
"lightcyan","turquoise_M14_Nucleus__HumanMeta","Brain",2.96769354063429e-08
"lightcyan","greenyellow_M6_GlutatmatergicSynapse__MouseMeta","Brain",3.67360182146016e-08
"lightcyan","PostSynapticDensity_proteins__Bayes","Brain",4.91913070952575e-08
"purple","DownWithAlzheimers_Liang__ADvsCT_inCA1","Brain",6.77460300532387e-08
"salmon","blue_M2_Oligodendrocytes__HumanMeta","Brain",7.1103822146147e-08
"magenta","blue_downAD_metalIonTransport_glycoprotein__Blalock_AD","Brain",7.37869599442269e-08
"black","yellow_M18__CTX","Brain",7.61279030077268e-08
"tan","CA1specific_Newrzella__CA1vsCA3","Brain",9.27085005676922e-08
"lightyellow","brown_Cortex__HumanChimp","Brain",1.0680510590506e-07
"magenta","green_M5_Mitochondria__HumanMeta","Brain",1.30100910116134e-07
"lightgreen","DownWithAlzheimers_Blalock__ADvsCT_inCA1","Brain",1.3106797629622e-07
"magenta","tan_M13_Neuron__HumanMeta","Brain",2.13763904770641e-07
"green","turquoise_CingulateNeurons(allTypes)/Layer5__Sugino/Winden","Brain",2.1590859616869e-07
"lightgreen","DownWithAlzheimers_Liang__ADvsCT_inCA1","Brain",3.02934736130411e-07
