,size,CRBL,OCTX
CRBL_black,988,NA,19
CRBL_blue,1654,NA,22
CRBL_brown,456,NA,7
CRBL_cyan,919,NA,19
CRBL_darkgrey,1552,NA,5
CRBL_darkred,538,NA,13
CRBL_darkturquoise,736,NA,12
CRBL_green,573,NA,13
CRBL_greenyellow,680,NA,6
CRBL_grey60,861,NA,5
CRBL_lightcyan,850,NA,10
CRBL_lightgreen,553,NA,18
CRBL_lightyellow,322,NA,24
CRBL_magenta,776,NA,6
CRBL_midnightblue,364,NA,1
CRBL_pink,858,NA,14
CRBL_purple,943,NA,17
CRBL_red,581,NA,20
CRBL_royalblue,556,NA,10
CRBL_salmon,733,NA,9
CRBL_tan,1049,NA,2
CRBL_turquoise,2041,NA,16
CRBL_yellow,569,NA,5
OCTX_black,530,12,NA
OCTX_blue,1372,28,NA
OCTX_brown,669,14,NA
OCTX_cyan,435,31,NA
OCTX_darkgreen,367,19,NA
OCTX_darkgrey,1389,24,NA
OCTX_darkmagenta,455,15,NA
OCTX_darkolivegreen,355,32,NA
OCTX_darkorange,504,20,NA
OCTX_darkturquoise,538,29,NA
OCTX_green,490,35,NA
OCTX_greenyellow,630,19,NA
OCTX_grey60,313,16,NA
OCTX_lightcyan,361,1,NA
OCTX_lightgreen,378,8,NA
OCTX_lightyellow,532,22,NA
OCTX_magenta,378,28,NA
OCTX_midnightblue,421,28,NA
OCTX_orange,436,3,NA
OCTX_paleturquoise,587,3,NA
OCTX_pink,501,12,NA
OCTX_purple,545,26,NA
OCTX_red,581,34,NA
OCTX_royalblue,418,15,NA
OCTX_saddlebrown,430,6,NA
OCTX_salmon,518,11,NA
OCTX_sienna3,400,9,NA
OCTX_skyblue,423,8,NA
OCTX_steelblue,443,6,NA
OCTX_tan,440,21,NA
OCTX_turquoise,1775,7,NA
OCTX_violet,344,17,NA
OCTX_white,547,13,NA
OCTX_yellow,647,27,NA
