"","query.number","significant","p.value","term.size","query.size","overlap.size","recall","precision","term.id","domain","subgraph.number","term.name","relative.depth","intersection","IC"
"1","black",TRUE,0.0267,30,742,9,0.012,0.3,"GO:0006505","BP",1,"GPI anchor metabolic process",1,NA,7.65773165252813
"2","yellow",TRUE,0.00396,12,899,7,0.008,0.583,"GO:0007214","BP",12,"gamma-aminobutyric acid signaling pathway",1,NA,9.55485163741401
"3","yellow",TRUE,0.0425,88,899,17,0.019,0.193,"GO:0050808","BP",11,"synapse organization",1,NA,5.99002483197005
"4","yellow",TRUE,0.00803,784,899,80,0.089,0.102,"GO:0030030","BP",6,"cell projection organization",1,NA,3.99802357571447
"5","yellow",TRUE,9.01e-06,1119,899,117,0.13,0.105,"GO:0007399","BP",6,"nervous system development",1,NA,3.3992860796256
"6","yellow",TRUE,0.016,609,899,65,0.072,0.107,"GO:0032990","BP",6,"cell part morphogenesis",1,NA,4.58503833783801
"7","yellow",TRUE,0.0389,601,899,63,0.07,0.105,"GO:0048858","BP",6,"cell projection morphogenesis",2,NA,4.60609174703584
"8","yellow",TRUE,0.000412,777,899,84,0.093,0.108,"GO:0022008","BP",6,"neurogenesis",1,NA,3.90353273229355
"9","yellow",TRUE,9.23e-05,751,899,84,0.093,0.112,"GO:0048699","BP",6,"generation of neurons",2,NA,4.00189205249239
"10","yellow",TRUE,3.22e-05,698,899,81,0.09,0.116,"GO:0030182","BP",6,"neuron differentiation",1,NA,4.18111763158122
"11","yellow",TRUE,0.000672,591,899,68,0.076,0.115,"GO:0048666","BP",6,"neuron development",2,NA,4.45498520958981
"12","yellow",TRUE,0.000299,555,899,66,0.073,0.119,"GO:0031175","BP",6,"neuron projection development",3,NA,4.6013747571577
"13","yellow",TRUE,0.00435,397,899,49,0.055,0.123,"GO:0061564","BP",6,"axon development",4,NA,5.57205956109765
"14","yellow",TRUE,0.0011,458,899,56,0.062,0.122,"GO:0048812","BP",6,"neuron projection morphogenesis",4,NA,5.15220571553739
"15","yellow",TRUE,0.0086,316,899,41,0.046,0.13,"GO:0097485","BP",6,"neuron projection guidance",5,NA,6.32273058579579
"16","yellow",TRUE,0.029,425,899,49,0.055,0.115,"GO:0048667","BP",6,"cell morphogenesis involved in neuron differentiation",2,NA,5.3159258463808
"17","yellow",TRUE,0.00518,388,899,48,0.053,0.124,"GO:0007409","BP",6,"axonogenesis",3,NA,5.69763686848086
"18","yellow",TRUE,0.0086,316,899,41,0.046,0.13,"GO:0007411","BP",6,"axon guidance",4,NA,6.43395622090601
"19","yellow",TRUE,0.0356,70,899,15,0.017,0.214,"GO:0006821","BP",13,"chloride transport",1,NA,6.43395622090601
"20","yellow",TRUE,8e-04,237,899,36,0.04,0.152,"GO:0042391","BP",2,"regulation of membrane potential",1,NA,4.98703723796968
"21","yellow",TRUE,8.79e-07,3511,899,294,0.327,0.084,"GO:0051179","BP",3,"localization",1,NA,2.05727472843938
"22","yellow",TRUE,1.73e-08,2908,899,260,0.289,0.089,"GO:0051234","BP",3,"establishment of localization",2,NA,2.40912987822602
"23","yellow",TRUE,1.46e-08,2847,899,256,0.285,0.09,"GO:0006810","BP",3,"transport",3,NA,2.45785435879334
"24","yellow",TRUE,0.0188,1038,899,98,0.109,0.094,"GO:0051049","BP",3,"regulation of transport",4,NA,3.36727221137973
"25","yellow",TRUE,1.3e-07,2720,899,243,0.27,0.089,"GO:1902578","BP",3,"single-organism localization",2,NA,2.48980774991368
"26","yellow",TRUE,2.11e-07,2606,899,234,0.26,0.09,"GO:0044765","BP",3,"single-organism transport",3,NA,2.58819871718438
"27","yellow",TRUE,4.7e-10,1006,899,121,0.135,0.12,"GO:0006811","BP",3,"ion transport",4,NA,3.54931983309459
"28","yellow",TRUE,2.19e-05,645,899,77,0.086,0.119,"GO:0006812","BP",3,"cation transport",5,NA,3.96885219841419
"29","yellow",TRUE,4.69e-05,353,899,50,0.056,0.142,"GO:0015672","BP",3,"monovalent inorganic cation transport",6,NA,4.7813461366067
"30","yellow",TRUE,1.51e-06,486,899,66,0.073,0.136,"GO:0030001","BP",3,"metal ion transport",6,NA,4.17649156319243
"31","yellow",TRUE,0.00563,185,899,29,0.032,0.157,"GO:0010959","BP",3,"regulation of metal ion transport",7,NA,4.86045031769797
"32","yellow",TRUE,0.00278,141,899,25,0.028,0.177,"GO:0006813","BP",3,"potassium ion transport",7,NA,5.58455972386189
"33","yellow",TRUE,3.5e-09,131,899,33,0.037,0.252,"GO:0006836","BP",3,"neurotransmitter transport",4,NA,6.72163829335779
"34","yellow",TRUE,0.0222,3810,899,289,0.321,0.076,"GO:0023052","BP",3,"signaling",1,NA,2.12889798033647
"35","yellow",TRUE,0.00278,141,899,25,0.028,0.177,"GO:0032409","BP",3,"regulation of transporter activity",1,NA,5.47168037579003
"36","yellow",TRUE,0.029,3807,899,288,0.32,0.076,"GO:0044700","BP",3,"single organism signaling",1,NA,2.12969241930576
"37","yellow",TRUE,7.92e-18,780,899,119,0.132,0.153,"GO:0007267","BP",3,"cell-cell signaling",2,NA,4.51789903500038
"38","yellow",TRUE,3.04e-06,257,899,43,0.048,0.167,"GO:0023061","BP",3,"signal release",3,NA,5.44945723900532
"39","yellow",TRUE,4.46e-25,488,899,101,0.112,0.207,"GO:0007268","BP",3,"synaptic transmission",3,NA,5.246292154622
"40","yellow",TRUE,0.0245,252,899,34,0.038,0.135,"GO:0051640","BP",3,"organelle localization",1,NA,5.21104621556032
"41","yellow",TRUE,8.71e-06,147,899,30,0.033,0.204,"GO:0051648","BP",3,"vesicle localization",2,NA,6.04829374009403
"42","yellow",TRUE,6.03e-08,86,899,25,0.028,0.291,"GO:0097479","BP",3,"synaptic vesicle localization",3,NA,6.68317201252999
"43","yellow",TRUE,0.00691,207,899,31,0.034,0.15,"GO:0051656","BP",3,"establishment of organelle localization",2,NA,5.51766548903186
"44","yellow",TRUE,3.67e-06,142,899,30,0.033,0.211,"GO:0051650","BP",3,"establishment of vesicle localization",3,NA,6.15365425575185
"45","yellow",TRUE,3.39e-08,84,899,25,0.028,0.298,"GO:0097480","BP",3,"establishment of synaptic vesicle localization",4,NA,6.76164362797149
