,tissue,color,size,CRBL,OCTX
CRBL_black,CRBL,black,988,NA,30.3162594425514
CRBL_blue,CRBL,blue,1654,NA,32.5450344427845
CRBL_brown,CRBL,brown,456,NA,39.824122174412
CRBL_cyan,CRBL,cyan,919,NA,17.8413043890316
CRBL_darkgrey,CRBL,darkgrey,1552,NA,16.5692570758734
CRBL_darkred,CRBL,darkred,538,NA,15.2644797619332
CRBL_darkturquoise,CRBL,darkturquoise,736,NA,26.2204863479265
CRBL_green,CRBL,green,573,NA,33.7564440789426
CRBL_greenyellow,CRBL,greenyellow,680,NA,40.8522243832755
CRBL_grey60,CRBL,grey60,861,NA,40.2282393412851
CRBL_lightcyan,CRBL,lightcyan,850,NA,35.3414592048413
CRBL_lightgreen,CRBL,lightgreen,553,NA,15.8194174102772
CRBL_lightyellow,CRBL,lightyellow,322,NA,1.91001192741402
CRBL_magenta,CRBL,magenta,776,NA,60.7763774247693
CRBL_midnightblue,CRBL,midnightblue,364,NA,31.9953885506305
CRBL_pink,CRBL,pink,858,NA,39.6961437371754
CRBL_purple,CRBL,purple,943,NA,30.2009153380669
CRBL_red,CRBL,red,581,NA,28.5438093065654
CRBL_royalblue,CRBL,royalblue,556,NA,14.5093907190692
CRBL_salmon,CRBL,salmon,733,NA,38.676078771684
CRBL_tan,CRBL,tan,1049,NA,59.6064913988234
CRBL_turquoise,CRBL,turquoise,2041,NA,91.7295636339187
CRBL_yellow,CRBL,yellow,569,NA,42.3678238111404
OCTX_black,OCTX,black,530,39.8166304073779,NA
OCTX_blue,OCTX,blue,1372,41.3462617039168,NA
OCTX_brown,OCTX,brown,669,48.3843507354453,NA
OCTX_cyan,OCTX,cyan,435,13.3769686604301,NA
OCTX_darkgreen,OCTX,darkgreen,367,16.7829867545447,NA
OCTX_darkgrey,OCTX,darkgrey,1389,12.7617103750209,NA
OCTX_darkmagenta,OCTX,darkmagenta,455,15.1508661413977,NA
OCTX_darkolivegreen,OCTX,darkolivegreen,355,7.17215525328469,NA
OCTX_darkorange,OCTX,darkorange,504,18.905653453181,NA
OCTX_darkturquoise,OCTX,darkturquoise,538,9.54478593674207,NA
OCTX_green,OCTX,green,490,0.735308715521823,NA
OCTX_greenyellow,OCTX,greenyellow,630,30.7106887701862,NA
OCTX_grey60,OCTX,grey60,313,17.3232701664012,NA
OCTX_lightcyan,OCTX,lightcyan,361,32.0711112902565,NA
OCTX_lightgreen,OCTX,lightgreen,378,19.5349242749257,NA
OCTX_lightyellow,OCTX,lightyellow,532,15.3238773399292,NA
OCTX_magenta,OCTX,magenta,378,20.2208077962261,NA
OCTX_midnightblue,OCTX,midnightblue,421,11.720037104157,NA
OCTX_orange,OCTX,orange,436,30.0218134226412,NA
OCTX_paleturquoise,OCTX,paleturquoise,587,18.5266845160735,NA
OCTX_pink,OCTX,pink,501,34.3756093632972,NA
OCTX_purple,OCTX,purple,545,22.8023821359207,NA
OCTX_red,OCTX,red,581,10.9542631874431,NA
OCTX_royalblue,OCTX,royalblue,418,22.2058778095286,NA
OCTX_saddlebrown,OCTX,saddlebrown,430,20.1851236191929,NA
OCTX_salmon,OCTX,salmon,518,25.8904182920303,NA
OCTX_sienna3,OCTX,sienna3,400,13.1007048222006,NA
OCTX_skyblue,OCTX,skyblue,423,22.73389810677,NA
OCTX_steelblue,OCTX,steelblue,443,23.3066335761828,NA
OCTX_tan,OCTX,tan,440,22.7480670131368,NA
OCTX_turquoise,OCTX,turquoise,1775,107.966569418883,NA
OCTX_violet,OCTX,violet,344,10.4407292101907,NA
OCTX_white,OCTX,white,547,20.2655911968844,NA
OCTX_yellow,OCTX,yellow,647,22.3916053182969,NA
