,tissue,color,size,CRBL,WHMT
CRBL_black,CRBL,black,988,NA,19.2947211445203
CRBL_blue,CRBL,blue,1654,NA,40.5627582550677
CRBL_brown,CRBL,brown,456,NA,28.3536935943623
CRBL_cyan,CRBL,cyan,919,NA,24.895611280033
CRBL_darkgrey,CRBL,darkgrey,1552,NA,22.5952241842949
CRBL_darkred,CRBL,darkred,538,NA,14.4592601311558
CRBL_darkturquoise,CRBL,darkturquoise,736,NA,16.357509318262
CRBL_green,CRBL,green,573,NA,43.169298870684
CRBL_greenyellow,CRBL,greenyellow,680,NA,45.9378682667788
CRBL_grey60,CRBL,grey60,861,NA,26.8523317482304
CRBL_lightcyan,CRBL,lightcyan,850,NA,24.3271152076352
CRBL_lightgreen,CRBL,lightgreen,553,NA,17.6951772244725
CRBL_lightyellow,CRBL,lightyellow,322,NA,4.61126878231987
CRBL_magenta,CRBL,magenta,776,NA,35.6089789710433
CRBL_midnightblue,CRBL,midnightblue,364,NA,46.6160969555554
CRBL_pink,CRBL,pink,858,NA,21.8779329122141
CRBL_purple,CRBL,purple,943,NA,10.7909529989117
CRBL_red,CRBL,red,581,NA,25.5187145553182
CRBL_royalblue,CRBL,royalblue,556,NA,15.8330698023934
CRBL_salmon,CRBL,salmon,733,NA,19.8873193720117
CRBL_tan,CRBL,tan,1049,NA,31.2793059653524
CRBL_turquoise,CRBL,turquoise,2041,NA,76.3522233826442
CRBL_yellow,CRBL,yellow,569,NA,48.8446236970019
WHMT_black,WHMT,black,1184,12.3879221222832,NA
WHMT_blue,WHMT,blue,1315,42.111173689035,NA
WHMT_brown,WHMT,brown,1360,27.3971901789646,NA
WHMT_cyan,WHMT,cyan,1069,7.68462361380719,NA
WHMT_green,WHMT,green,1230,28.1177170041973,NA
WHMT_greenyellow,WHMT,greenyellow,550,11.2445405557682,NA
WHMT_grey60,WHMT,grey60,972,3.74973917596885,NA
WHMT_lightcyan,WHMT,lightcyan,708,14.8873837306399,NA
WHMT_magenta,WHMT,magenta,658,18.5587070276902,NA
WHMT_midnightblue,WHMT,midnightblue,463,20.5516623175681,NA
WHMT_pink,WHMT,pink,1110,34.2114441521747,NA
WHMT_purple,WHMT,purple,602,22.2134063009835,NA
WHMT_red,WHMT,red,625,29.2923171623746,NA
WHMT_salmon,WHMT,salmon,1303,15.4912094673596,NA
WHMT_tan,WHMT,tan,1046,20.9048284366722,NA
WHMT_turquoise,WHMT,turquoise,2677,102.368901827663,NA
WHMT_yellow,WHMT,yellow,2280,27.0125905408017,NA
