"","grey60","darkturquoise","darkred","magenta","black","turquoise","green","royalblue","darkgrey","cyan","lightyellow","blue","red","tan","purple","salmon","lightcyan","lightgreen","pink","yellow","midnightblue","brown","greenyellow"
"Astrocyte",1,1,3.12032662101614e-07,1,1,1,1,1,1,1,1,1,4.34589336907848e-18,1,1,1,1,1,1,1,1,1,1
"Bcells",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"CA1_Pyramidal",1,1,1,1,1,1,1,1,1,2.14283928297695e-11,1,1,1,1,1,1,1,1,1,1,1,1,0.00228611319330533
"CA1.Pyramidal",1,1,1,1,1,1,1,1,1,2.14283928297695e-11,1,1,1,1,1,1,1,1,1,1,1,1,0.00228611319330533
"CD8Tcells",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Cerebellum_Basket_Neuroexpresso",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Cerebellum_Bergmann_Neuroexpresso",1,1,1,1,1,1,1,1,1,1,1,1,1.04741698488469e-18,1,1,1,1,1,1,1,1,1,1
"Cerebellum_Golgi_Neuroexpresso",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Cerebellum_Granule_Neuroexpresso",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Cerebellum_Microglia_Neuroexpresso",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.51394237379807e-38,1,1
"Cerebellum_MicrogliaActivation_Neuroexpresso",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.51190207103467e-15,1,1
"Cerebellum_MicrogliaDeactivation_Neuroexpresso",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.92013603642814e-45,1,1
"Cerebellum_Oligo_Neuroexpresso",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.78703657588755e-06,1,4.91189776079109e-15,1
"Cerebellum_Purkinje_Neuroexpresso",1,1,1,1,1,1,1,1,1,1,2.00746892333474e-10,1,1,1,1,1,1,1,1,1,1,1,1
"Cortex_Astrocyte_Neuroexpresso",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Cortex_Endothelial_Neuroexpresso",1,1,1,1,1,1,1,4.53459287729002e-36,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
