,tissue,color,size,HIPP,THAL
HIPP_black,HIPP,black,630,NA,48.9113701134241
HIPP_blue,HIPP,blue,972,NA,67.8990057417663
HIPP_brown,HIPP,brown,710,NA,7.13258527225561
HIPP_cyan,HIPP,cyan,527,NA,46.4819737498201
HIPP_darkgreen,HIPP,darkgreen,373,NA,22.3607209817796
HIPP_darkgrey,HIPP,darkgrey,402,NA,15.9549806620871
HIPP_darkorange,HIPP,darkorange,397,NA,15.1965578269388
HIPP_darkred,HIPP,darkred,321,NA,1.44135628328056
HIPP_darkturquoise,HIPP,darkturquoise,346,NA,3.24351353260312
HIPP_green,HIPP,green,455,NA,32.0006839967566
HIPP_greenyellow,HIPP,greenyellow,441,NA,22.8692799834491
HIPP_grey60,HIPP,grey60,607,NA,27.0247889187686
HIPP_lightcyan,HIPP,lightcyan,597,NA,15.841128330027
HIPP_lightgreen,HIPP,lightgreen,1530,NA,18.6224229682327
HIPP_lightyellow,HIPP,lightyellow,492,NA,29.0762065345313
HIPP_magenta,HIPP,magenta,481,NA,3.95374201089945
HIPP_midnightblue,HIPP,midnightblue,332,NA,2.02864163022136
HIPP_orange,HIPP,orange,525,NA,7.48455258689013
HIPP_paleturquoise,HIPP,paleturquoise,407,NA,6.33303627894923
HIPP_pink,HIPP,pink,433,NA,14.023302864455
HIPP_purple,HIPP,purple,427,NA,19.5549190336508
HIPP_red,HIPP,red,435,NA,17.1437906025047
HIPP_royalblue,HIPP,royalblue,675,NA,16.2493116852949
HIPP_saddlebrown,HIPP,saddlebrown,1296,NA,14.9676168818167
HIPP_salmon,HIPP,salmon,351,NA,2.30729363695559
HIPP_skyblue,HIPP,skyblue,408,NA,15.3274207261654
HIPP_steelblue,HIPP,steelblue,503,NA,14.5563680066262
HIPP_tan,HIPP,tan,420,NA,38.9260160809457
HIPP_turquoise,HIPP,turquoise,2119,NA,83.7105540911798
HIPP_violet,HIPP,violet,365,NA,9.33906185237353
HIPP_white,HIPP,white,551,NA,20.279997240616
HIPP_yellow,HIPP,yellow,624,NA,31.4312483964931
THAL_black,THAL,black,1308,40.7490218407664,NA
THAL_blue,THAL,blue,2188,49.5102891398298,NA
THAL_brown,THAL,brown,1284,43.2121313121756,NA
THAL_cyan,THAL,cyan,729,6.28438968821452,NA
THAL_darkgreen,THAL,darkgreen,838,53.4117386275801,NA
THAL_darkred,THAL,darkred,1017,10.3516736299555,NA
THAL_greenyellow,THAL,greenyellow,458,6.35699626616162,NA
THAL_grey60,THAL,grey60,475,5.01533054678608,NA
THAL_lightcyan,THAL,lightcyan,1133,13.3398403677729,NA
THAL_lightgreen,THAL,lightgreen,966,25.3705977891603,NA
THAL_lightyellow,THAL,lightyellow,493,6.76668240646997,NA
THAL_magenta,THAL,magenta,746,10.2102557213769,NA
THAL_midnightblue,THAL,midnightblue,306,26.7357188749034,NA
THAL_pink,THAL,pink,1035,25.6447818697045,NA
THAL_red,THAL,red,1241,81.6075876621591,NA
THAL_salmon,THAL,salmon,426,37.2672298817319,NA
THAL_tan,THAL,tan,808,12.7870604613118,NA
THAL_turquoise,THAL,turquoise,3072,91.6363418923403,NA
THAL_yellow,THAL,yellow,629,40.7958822533227,NA
