,size,HIPP,TCTX
HIPP_black,630,NA,2
HIPP_blue,972,NA,23
HIPP_brown,710,NA,28
HIPP_cyan,527,NA,4
HIPP_darkgreen,373,NA,10
HIPP_darkgrey,402,NA,17
HIPP_darkorange,397,NA,14
HIPP_darkred,321,NA,33
HIPP_darkturquoise,346,NA,30
HIPP_green,455,NA,18
HIPP_greenyellow,441,NA,19
HIPP_grey60,607,NA,11
HIPP_lightcyan,597,NA,16
HIPP_lightgreen,1530,NA,14
HIPP_lightyellow,492,NA,2
HIPP_magenta,481,NA,30
HIPP_midnightblue,332,NA,31
HIPP_orange,525,NA,20
HIPP_paleturquoise,407,NA,21
HIPP_pink,433,NA,24
HIPP_purple,427,NA,21
HIPP_red,435,NA,26
HIPP_royalblue,675,NA,12
HIPP_saddlebrown,1296,NA,5
HIPP_salmon,351,NA,31
HIPP_skyblue,408,NA,13
HIPP_steelblue,503,NA,6
HIPP_tan,420,NA,3
HIPP_turquoise,2119,NA,12
HIPP_violet,365,NA,9
HIPP_white,551,NA,8
HIPP_yellow,624,NA,25
TCTX_black,898,21,NA
TCTX_blue,1556,12,NA
TCTX_brown,883,14,NA
TCTX_cyan,647,6,NA
TCTX_darkgreen,518,13,NA
TCTX_darkred,844,5,NA
TCTX_darkturquoise,687,6,NA
TCTX_green,896,16,NA
TCTX_greenyellow,738,14,NA
TCTX_grey60,622,12,NA
TCTX_lightcyan,647,11,NA
TCTX_lightgreen,774,19,NA
TCTX_lightyellow,699,5,NA
TCTX_magenta,906,7,NA
TCTX_midnightblue,794,4,NA
TCTX_pink,893,22,NA
TCTX_purple,800,9,NA
TCTX_red,1607,13,NA
TCTX_salmon,683,2,NA
TCTX_tan,722,22,NA
TCTX_turquoise,1565,18,NA
TCTX_yellow,773,3,NA
