"InputCategories","UserDefinedCategories","Type","CorrectedPvalues"
"cyan","red_M11_Neuron__HumanMeta","Brain",8.29367409950716e-09
"purple","brown_upAging_copperHomeostatisMT1__Lu_Aging","Brain",1.39630319223389e-08
"blue","turquoise_Cerebellum__HumanChimp","Brain",1.5178707361741e-08
"cyan","brown_Cortex__HumanChimp","Brain",1.78728469920759e-08
"blue","green_glutamatergicNeurons__Sugino/Winden","Brain",2.25299651666676e-08
"red","orange_M5_Microglia(Type2)__CTX","Brain",3.29145278742382e-08
"red","upMGactivagtion_GSE1910__MicrogialMarkers","Brain",5.25209472488331e-08
"pink","yellow_M18__CTX","Brain",6.03752796042475e-08
"blue","Schizophrenia_possible__DiseaseGenes","Brain",6.03981526930939e-08
"grey60","turquoise_downAD_intracellularTransport_cytoskeleton__Blalock_AD","Brain",6.08440984909292e-08
"midnightblue","UpWithAlzheimers_Blalock__ADvsCT_inCA1","Brain",7.95350879044113e-08
"blue","tan_M13_Neuron__MouseMeta","Brain",8.51175178354882e-08
"grey60","turquoise_CingulateNeurons(allTypes)/Layer5__Sugino/Winden","Brain",1.03001757092695e-07
"blue","CA3specific_Newrzella__CA1vsCA3","Brain",1.2988573492867e-07
"midnightblue","turquoise_upAging_oligo__Lu_Aging","Brain",2.37197909362706e-07
"red","upInHippocampus__EarlyAD","Brain",2.40906564144285e-07
"grey60","blue_downAging_mitochondria_synapse__Lu_Aging","Brain",2.69912012197021e-07
"cyan","Neuron_definite__Cahoy","Brain",3.02084552491381e-07
"midnightblue","Validated_Astrocyte_Bachoo__MO","Brain",3.99368956360908e-07
"grey60","black_M1_PvalbInterneurons__HumanMeta","Brain",4.03990961089985e-07
"black","cyan_M4_Mitochondria__HumanMeta","Brain",5.32371114205408e-07
"pink","blue_M16_Neuron__CTX","Brain",5.41502739840997e-07
"blue","Autism_susceptability_genes_from_Pinto_et_al_2010__Voineagu","Brain",1.0153021454897e-06
"cyan","Autism_differential_expression_across_at_least_one_comparison__Voineagu","Brain",1.59652678512104e-06
"midnightblue","Astrocyte__ABA","Brain",1.68639557742153e-06
"cyan","Autism_associated_module_M12__Voineagu","Brain",2.42849505092306e-06
"tan","pink_M14_GlutamatergicSynapticFunction__CTX","Brain",2.96664172130608e-06
"red","magenta_M8_Microglia(Type2)__HumanMeta","Brain",3.58898797011e-06
"greenyellow","CA1specific_Newrzella__CA1vsCA3","Brain",3.81841714189169e-06
"tan","Autism_associated_module_M12__Voineagu","Brain",5.0008526881505e-06
"greenyellow","brown_M15_Astrocyte__CTX","Brain",5.37203358704617e-06
"grey60","Down_CD40_stimulation_in_MG_AitGhezala__MicrogialMarkers","Brain",9.22312130934826e-06
"blue","pink_M14_GlutamatergicSynapticFunction__CTX","Brain",1.07576933437493e-05
"red","mutationMouseOrHumanOrBoth__JAXdiseaseGene","Brain",1.40485576664563e-05
"cyan","greenyellow_downAD_ionAndCalciumTransport__Blalock_AD","Brain",1.49650060755904e-05
"pink","DownWithAlzheimers_Liang__ADvsCT_inCA1","Brain",1.55312579914898e-05
"grey60","Neuron_probable__Cahoy","Brain",2.09868995222929e-05
"black","cyan_M4_Mitochondria__MouseMeta","Brain",2.49489415782625e-05
"cyan","blue_M16_Neuron__CTX","Brain",4.43115655784396e-05
"blue","CA1specific_Newrzella__CA1vsCA3","Brain",4.87186150751476e-05
"tan","turquoise_M14_Nucleus__HumanMeta","Brain",7.97244757052239e-05
"blue","DownWithAlzheimers_Liang__ADvsCT_inCA1","Brain",9.15475731554514e-05
"cyan","blue_downAging_mitochondria_synapse__Lu_Aging","Brain",9.85659967116715e-05
"pink","brown_pyramidalNeurons_Layer5/basolateralAmygdala__Sugino/Winden","Brain",0.000111378613777165
"pink","blue_M2_Oligodendrocytes__HumanMeta","Brain",0.000112947496163363
"blue","CA3specific_GorLorT__CA1vsCA3","Brain",0.000129761750055085
"cyan","brown_downAD_mitochondrion__Blalock_AD","Brain",0.000138867082551383
"blue","turquoise_CingulateNeurons(allTypes)/Layer5__Sugino/Winden","Brain",0.000191704806506249
"tan","purple_pyramidalNeurons_Layers5&6/basolateralAmygdala__Sugino/Winden","Brain",0.00027032310315034
"magenta","Choroid plexus__ABA","Brain",0.000367808241676994
"black","blue_M2_Oligodendrocytes__HumanMeta","Brain",0.000396110694838539
"red","mutationMouse__JAXdiseaseGene","Brain",0.000567794525129754
"red","tan_M12_Hypoxia__CTX","Brain",0.000568073874987077
"midnightblue","PostSynapticDensity_proteins__Bayes","Brain",0.000922473936948742
"midnightblue","Cytoplasm_Foster__MO","Brain",0.000941760613027373
"pink","green_M10_GlutamatergicSynapticFunction__CTX","Brain",0.00112411615209175
"black","turquoise_M14_Nucleus__HumanMeta","Brain",0.00131166876252912
"blue","downInFrontalCortex__EarlyAD","Brain",0.00132701617057194
"grey60","Recycling_endosome_TGN_Foster__MO","Brain",0.00181227185941747
"grey60","Somatic__MitochondrialType","Brain",0.00181227185941747
"pink","lightcyan_M7_unknownHumanSpecific__HumanMeta","Brain",0.00227667583477301
"greenyellow","black_noChangeAD_heatShockProteinActivity__Blalock_AD","Brain",0.00236652788640164
"tan","DownWithAlzheimers_Blalock__ADvsCT_inCA1","Brain",0.00259808986483614
"greenyellow","UpWithAlzheimers_Blalock__ADvsCT_inCA1","Brain",0.002805114544704
"brown","UpWithAlzheimers_Blalock__ADvsCT_inCA1","Brain",0.00319759251049192
