,size,MEDU,TCTX
MEDU_black,799,NA,7
MEDU_blue,1723,NA,12
MEDU_brown,933,NA,14
MEDU_cyan,1552,NA,4
MEDU_green,909,NA,18
MEDU_greenyellow,972,NA,3
MEDU_grey60,794,NA,17
MEDU_lightcyan,900,NA,1
MEDU_lightgreen,922,NA,8
MEDU_lightyellow,815,NA,11
MEDU_midnightblue,911,NA,16
MEDU_pink,457,NA,10
MEDU_purple,1275,NA,5
MEDU_red,1087,NA,6
MEDU_tan,1421,NA,13
MEDU_turquoise,2429,NA,4
MEDU_yellow,1253,NA,8
TCTX_black,898,22,NA
TCTX_blue,1556,10,NA
TCTX_brown,883,18,NA
TCTX_cyan,647,8,NA
TCTX_darkgreen,518,8,NA
TCTX_darkred,844,2,NA
TCTX_darkturquoise,687,8,NA
TCTX_green,896,11,NA
TCTX_greenyellow,738,14,NA
TCTX_grey60,622,12,NA
TCTX_lightcyan,647,17,NA
TCTX_lightgreen,774,17,NA
TCTX_lightyellow,699,4,NA
TCTX_magenta,906,6,NA
TCTX_midnightblue,794,2,NA
TCTX_pink,893,20,NA
TCTX_purple,800,18,NA
TCTX_red,1607,16,NA
TCTX_salmon,683,6,NA
TCTX_tan,722,23,NA
TCTX_turquoise,1565,15,NA
TCTX_yellow,773,4,NA
