,tissue,color,size,CRBL,FCTX
CRBL_black,CRBL,black,988,NA,25.3115388214583
CRBL_blue,CRBL,blue,1654,NA,36.3346135925811
CRBL_brown,CRBL,brown,456,NA,42.5668981610675
CRBL_cyan,CRBL,cyan,919,NA,12.9465042681782
CRBL_darkgrey,CRBL,darkgrey,1552,NA,15.8338020539279
CRBL_darkred,CRBL,darkred,538,NA,17.086693491906
CRBL_darkturquoise,CRBL,darkturquoise,736,NA,17.4097944969161
CRBL_green,CRBL,green,573,NA,31.0010835872208
CRBL_greenyellow,CRBL,greenyellow,680,NA,38.8767886279468
CRBL_grey60,CRBL,grey60,861,NA,38.7917853247347
CRBL_lightcyan,CRBL,lightcyan,850,NA,25.2285340831034
CRBL_lightgreen,CRBL,lightgreen,553,NA,13.7564164170162
CRBL_lightyellow,CRBL,lightyellow,322,NA,1.18261463518611
CRBL_magenta,CRBL,magenta,776,NA,52.7369045287142
CRBL_midnightblue,CRBL,midnightblue,364,NA,26.9562453753911
CRBL_pink,CRBL,pink,858,NA,32.0221364722492
CRBL_purple,CRBL,purple,943,NA,19.4714261118603
CRBL_red,CRBL,red,581,NA,28.8584312892304
CRBL_royalblue,CRBL,royalblue,556,NA,15.8866804069753
CRBL_salmon,CRBL,salmon,733,NA,32.6134725861748
CRBL_tan,CRBL,tan,1049,NA,44.6079759279252
CRBL_turquoise,CRBL,turquoise,2041,NA,99.9562270159854
CRBL_yellow,CRBL,yellow,569,NA,44.3139657696485
FCTX_black,FCTX,black,808,24.0975662070111,NA
FCTX_blue,FCTX,blue,1816,33.6018019116483,NA
FCTX_brown,FCTX,brown,960,50.6835713156834,NA
FCTX_cyan,FCTX,cyan,586,19.5245076005206,NA
FCTX_darkgreen,FCTX,darkgreen,634,20.0811301583228,NA
FCTX_darkred,FCTX,darkred,1377,15.3530680416896,NA
FCTX_darkturquoise,FCTX,darkturquoise,550,12.7677025405959,NA
FCTX_green,FCTX,green,751,33.0178846835405,NA
FCTX_greenyellow,FCTX,greenyellow,646,14.5612192424105,NA
FCTX_grey60,FCTX,grey60,468,31.7422966608348,NA
FCTX_lightcyan,FCTX,lightcyan,601,18.9173384348065,NA
FCTX_lightgreen,FCTX,lightgreen,707,20.5039524967561,NA
FCTX_lightyellow,FCTX,lightyellow,669,12.3520480360717,NA
FCTX_magenta,FCTX,magenta,785,33.442548890992,NA
FCTX_midnightblue,FCTX,midnightblue,598,32.6036829998706,NA
FCTX_pink,FCTX,pink,719,18.1751509472957,NA
FCTX_purple,FCTX,purple,635,21.8318020434246,NA
FCTX_red,FCTX,red,877,34.1662516527939,NA
FCTX_royalblue,FCTX,royalblue,561,11.3602696102732,NA
FCTX_salmon,FCTX,salmon,560,19.3138047530992,NA
FCTX_tan,FCTX,tan,580,21.4473569664484,NA
FCTX_turquoise,FCTX,turquoise,2545,99.1702270802142,NA
FCTX_yellow,FCTX,yellow,719,46.3587789657554,NA
