,size,OCTX,TCTX
OCTX_black,530,NA,10
OCTX_blue,1372,NA,28
OCTX_brown,669,NA,8
OCTX_cyan,435,NA,25
OCTX_darkgreen,367,NA,14
OCTX_darkgrey,1389,NA,33
OCTX_darkmagenta,455,NA,8
OCTX_darkolivegreen,355,NA,18
OCTX_darkorange,504,NA,29
OCTX_darkturquoise,538,NA,6
OCTX_green,490,NA,34
OCTX_greenyellow,630,NA,16
OCTX_grey60,313,NA,7
OCTX_lightcyan,361,NA,2
OCTX_lightgreen,378,NA,4
OCTX_lightyellow,532,NA,29
OCTX_magenta,378,NA,22
OCTX_midnightblue,421,NA,17
OCTX_orange,436,NA,13
OCTX_paleturquoise,587,NA,5
OCTX_pink,501,NA,1
OCTX_purple,545,NA,21
OCTX_red,581,NA,33
OCTX_royalblue,418,NA,27
OCTX_saddlebrown,430,NA,16
OCTX_salmon,518,NA,23
OCTX_sienna3,400,NA,9
OCTX_skyblue,423,NA,20
OCTX_steelblue,443,NA,23
OCTX_tan,440,NA,25
OCTX_turquoise,1775,NA,19
OCTX_violet,344,NA,4
OCTX_white,547,NA,18
OCTX_yellow,647,NA,32
TCTX_black,898,19,NA
TCTX_blue,1556,11,NA
TCTX_brown,883,19,NA
TCTX_cyan,647,16,NA
TCTX_darkgreen,518,15,NA
TCTX_darkred,844,2,NA
TCTX_darkturquoise,687,12,NA
TCTX_green,896,21,NA
TCTX_greenyellow,738,9,NA
TCTX_grey60,622,10,NA
TCTX_lightcyan,647,12,NA
TCTX_lightgreen,774,8,NA
TCTX_lightyellow,699,1,NA
TCTX_magenta,906,7,NA
TCTX_midnightblue,794,11,NA
TCTX_pink,893,20,NA
TCTX_purple,800,5,NA
TCTX_red,1607,13,NA
TCTX_salmon,683,6,NA
TCTX_tan,722,6,NA
TCTX_turquoise,1565,18,NA
TCTX_yellow,773,4,NA
