,size,OCTX,WHMT
OCTX_black,530,NA,21
OCTX_blue,1372,NA,18
OCTX_brown,669,NA,12
OCTX_cyan,435,NA,27
OCTX_darkgreen,367,NA,12
OCTX_darkgrey,1389,NA,24
OCTX_darkmagenta,455,NA,15
OCTX_darkolivegreen,355,NA,25
OCTX_darkorange,504,NA,21
OCTX_darkturquoise,538,NA,28
OCTX_green,490,NA,35
OCTX_greenyellow,630,NA,23
OCTX_grey60,313,NA,6
OCTX_lightcyan,361,NA,1
OCTX_lightgreen,378,NA,3
OCTX_lightyellow,532,NA,25
OCTX_magenta,378,NA,18
OCTX_midnightblue,421,NA,17
OCTX_orange,436,NA,14
OCTX_paleturquoise,587,NA,2
OCTX_pink,501,NA,7
OCTX_purple,545,NA,31
OCTX_red,581,NA,33
OCTX_royalblue,418,NA,20
OCTX_saddlebrown,430,NA,16
OCTX_salmon,518,NA,19
OCTX_sienna3,400,NA,6
OCTX_skyblue,423,NA,13
OCTX_steelblue,443,NA,11
OCTX_tan,440,NA,25
OCTX_turquoise,1775,NA,9
OCTX_violet,344,NA,7
OCTX_white,547,NA,29
OCTX_yellow,647,NA,30
WHMT_black,1184,16,NA
WHMT_blue,1315,10,NA
WHMT_brown,1360,12,NA
WHMT_cyan,1069,18,NA
WHMT_green,1230,12,NA
WHMT_greenyellow,550,16,NA
WHMT_grey60,972,8,NA
WHMT_lightcyan,708,4,NA
WHMT_magenta,658,10,NA
WHMT_midnightblue,463,1,NA
WHMT_pink,1110,4,NA
WHMT_purple,602,7,NA
WHMT_red,625,12,NA
WHMT_salmon,1303,9,NA
WHMT_tan,1046,8,NA
WHMT_turquoise,2677,2,NA
WHMT_yellow,2280,6,NA
