,size,SNIG,WHMT
SNIG_black,1016,NA,8
SNIG_blue,2459,NA,5
SNIG_brown,1083,NA,14
SNIG_cyan,1193,NA,13
SNIG_green,1465,NA,2
SNIG_greenyellow,1439,NA,4
SNIG_magenta,1117,NA,11
SNIG_pink,1294,NA,6
SNIG_purple,625,NA,1
SNIG_red,1435,NA,9
SNIG_salmon,1091,NA,8
SNIG_turquoise,2953,NA,3
SNIG_yellow,1982,NA,8
WHMT_black,1184,11,NA
WHMT_blue,1315,9,NA
WHMT_brown,1360,13,NA
WHMT_cyan,1069,17,NA
WHMT_green,1230,18,NA
WHMT_greenyellow,550,14,NA
WHMT_grey60,972,11,NA
WHMT_lightcyan,708,2,NA
WHMT_magenta,658,13,NA
WHMT_midnightblue,463,1,NA
WHMT_pink,1110,12,NA
WHMT_purple,602,4,NA
WHMT_red,625,6,NA
WHMT_salmon,1303,8,NA
WHMT_tan,1046,5,NA
WHMT_turquoise,2677,5,NA
WHMT_yellow,2280,6,NA
