,tissue,color,size,CRBL,HIPP
CRBL_black,CRBL,black,988,NA,23.947163845067
CRBL_blue,CRBL,blue,1654,NA,30.1112726336482
CRBL_brown,CRBL,brown,456,NA,51.50443623883
CRBL_cyan,CRBL,cyan,919,NA,22.0337696297567
CRBL_darkgrey,CRBL,darkgrey,1552,NA,18.0840281112206
CRBL_darkred,CRBL,darkred,538,NA,18.366544858635
CRBL_darkturquoise,CRBL,darkturquoise,736,NA,14.0804024169836
CRBL_green,CRBL,green,573,NA,42.4252703988045
CRBL_greenyellow,CRBL,greenyellow,680,NA,46.5367314881159
CRBL_grey60,CRBL,grey60,861,NA,33.948247159123
CRBL_lightcyan,CRBL,lightcyan,850,NA,35.8197558380165
CRBL_lightgreen,CRBL,lightgreen,553,NA,16.0016298309716
CRBL_lightyellow,CRBL,lightyellow,322,NA,4.05755863192558
CRBL_magenta,CRBL,magenta,776,NA,45.0841335894578
CRBL_midnightblue,CRBL,midnightblue,364,NA,42.7758961861313
CRBL_pink,CRBL,pink,858,NA,25.5658037599275
CRBL_purple,CRBL,purple,943,NA,17.7285496058847
CRBL_red,CRBL,red,581,NA,34.059309361493
CRBL_royalblue,CRBL,royalblue,556,NA,13.2856171447271
CRBL_salmon,CRBL,salmon,733,NA,29.3930665775363
CRBL_tan,CRBL,tan,1049,NA,53.4922655227995
CRBL_turquoise,CRBL,turquoise,2041,NA,74.5531937737159
CRBL_yellow,CRBL,yellow,569,NA,60.6542347503605
HIPP_black,HIPP,black,630,29.7099727244819,NA
HIPP_blue,HIPP,blue,972,40.5292598387327,NA
HIPP_brown,HIPP,brown,710,5.72379989519242,NA
HIPP_cyan,HIPP,cyan,527,30.6941813630287,NA
HIPP_darkgreen,HIPP,darkgreen,373,11.9034732327607,NA
HIPP_darkgrey,HIPP,darkgrey,402,5.30152965695725,NA
HIPP_darkorange,HIPP,darkorange,397,12.6615238350363,NA
HIPP_darkred,HIPP,darkred,321,2.1510141556647,NA
HIPP_darkturquoise,HIPP,darkturquoise,346,2.89800872824172,NA
HIPP_green,HIPP,green,455,20.1899440956592,NA
HIPP_greenyellow,HIPP,greenyellow,441,15.9942382738711,NA
HIPP_grey60,HIPP,grey60,607,14.1154586628727,NA
HIPP_lightcyan,HIPP,lightcyan,597,14.1701817346892,NA
HIPP_lightgreen,HIPP,lightgreen,1530,19.3345541778661,NA
HIPP_lightyellow,HIPP,lightyellow,492,30.2918558313192,NA
HIPP_magenta,HIPP,magenta,481,1.6051739145808,NA
HIPP_midnightblue,HIPP,midnightblue,332,2.68168676081167,NA
HIPP_orange,HIPP,orange,525,5.8538169617641,NA
HIPP_paleturquoise,HIPP,paleturquoise,407,3.74176641019826,NA
HIPP_pink,HIPP,pink,433,12.3308152741579,NA
HIPP_purple,HIPP,purple,427,14.9474717891383,NA
HIPP_red,HIPP,red,435,16.5276357431794,NA
HIPP_royalblue,HIPP,royalblue,675,29.8611079347318,NA
HIPP_saddlebrown,HIPP,saddlebrown,1296,12.6059671669204,NA
HIPP_salmon,HIPP,salmon,351,0.0813086770004781,NA
HIPP_skyblue,HIPP,skyblue,408,10.0505544598323,NA
HIPP_steelblue,HIPP,steelblue,503,9.31347611140942,NA
HIPP_tan,HIPP,tan,420,45.0558581269539,NA
HIPP_turquoise,HIPP,turquoise,2119,112.742151453652,NA
HIPP_violet,HIPP,violet,365,10.2238829779194,NA
HIPP_white,HIPP,white,551,35.9487217107333,NA
HIPP_yellow,HIPP,yellow,624,17.7093778074393,NA
