"","query.number","significant","p.value","term.size","query.size","overlap.size","recall","precision","term.id","domain","subgraph.number","term.name","relative.depth","intersection","IC"
"46","green",TRUE,0.0306,749,387,40,0.103,0.053,"GO:0005215","MF",3,"transporter activity",1,NA,3.66122792278343
"47","lightcyan",TRUE,0.00865,10688,524,425,0.811,0.04,"GO:0008150","BP",1,"biological_process",1,NA,0
"48","lightcyan",TRUE,4.22e-10,7129,524,336,0.641,0.047,"GO:0008152","BP",1,"metabolic process",2,NA,1.09105922272488
"49","lightcyan",TRUE,2.33e-11,6333,524,312,0.595,0.049,"GO:0044238","BP",1,"primary metabolic process",3,NA,1.35036207402462
"50","lightcyan",TRUE,5.88e-07,3712,524,196,0.374,0.053,"GO:0009058","BP",1,"biosynthetic process",3,NA,2.21921765548681
"51","lightcyan",TRUE,8.37e-11,4170,524,228,0.435,0.055,"GO:0006807","BP",1,"nitrogen compound metabolic process",3,NA,2.03896255219888
"52","lightcyan",TRUE,1.25e-11,6615,524,323,0.616,0.049,"GO:0071704","BP",1,"organic substance metabolic process",3,NA,1.24542089527368
"53","lightcyan",TRUE,1.02e-17,5543,524,302,0.576,0.054,"GO:0043170","BP",1,"macromolecule metabolic process",4,NA,1.42116638675389
"54","lightcyan",TRUE,0.00137,850,524,59,0.113,0.069,"GO:0009057","BP",1,"macromolecule catabolic process",5,NA,4.05905046633234
"55","lightcyan",TRUE,2.91e-15,3153,524,199,0.38,0.063,"GO:0010467","BP",1,"gene expression",5,NA,2.31038605491273
"56","lightcyan",TRUE,0.0152,2500,524,128,0.244,0.051,"GO:0043412","BP",1,"macromolecule modification",5,NA,2.51841001747055
"57","lightcyan",TRUE,2.03e-07,3669,524,196,0.374,0.053,"GO:1901576","BP",1,"organic substance biosynthetic process",4,NA,2.23388356353288
"58","lightcyan",TRUE,7.34e-12,3006,524,183,0.349,0.061,"GO:0009059","BP",1,"macromolecule biosynthetic process",5,NA,2.39245414005829
"59","lightcyan",TRUE,1.13e-09,3597,524,201,0.384,0.056,"GO:1901360","BP",1,"organic cyclic compound metabolic process",4,NA,2.09015079905233
"60","lightcyan",TRUE,2.53e-08,2499,524,150,0.286,0.06,"GO:1901362","BP",1,"organic cyclic compound biosynthetic process",5,NA,2.53913921692678
"61","lightcyan",TRUE,1.87e-10,6529,524,316,0.603,0.048,"GO:0044237","BP",1,"cellular metabolic process",3,NA,1.25366088916061
"62","lightcyan",TRUE,4.05e-19,5206,524,293,0.559,0.056,"GO:0044260","BP",1,"cellular macromolecule metabolic process",4,NA,1.54792866847206
"63","lightcyan",TRUE,0.0388,3194,524,154,0.294,0.048,"GO:0044267","BP",1,"cellular protein metabolic process",5,NA,2.30350665404179
"64","lightcyan",TRUE,7.48e-11,3456,524,199,0.38,0.058,"GO:0046483","BP",1,"heterocycle metabolic process",4,NA,2.13148221793408
"65","lightcyan",TRUE,8.19e-11,3459,524,199,0.38,0.058,"GO:0006725","BP",1,"cellular aromatic compound metabolic process",4,NA,2.12790581833425
"66","lightcyan",TRUE,1.86e-11,3944,524,221,0.422,0.056,"GO:0034641","BP",1,"cellular nitrogen compound metabolic process",4,NA,2.08881479350958
"67","lightcyan",TRUE,2.69e-12,3350,524,199,0.38,0.059,"GO:0006139","BP",1,"nucleobase-containing compound metabolic process",5,NA,2.15158743877777
"68","lightcyan",TRUE,4.19e-15,2957,524,190,0.363,0.064,"GO:0090304","BP",1,"nucleic acid metabolic process",6,NA,2.22597664775037
"69","lightcyan",TRUE,1.11e-14,2646,524,175,0.334,0.066,"GO:0016070","BP",1,"RNA metabolic process",7,NA,2.43845749332054
"70","lightcyan",TRUE,0.000587,397,524,36,0.069,0.091,"GO:0016071","BP",1,"mRNA metabolic process",8,NA,4.86963874375238
"71","lightcyan",TRUE,0.0317,491,524,37,0.071,0.075,"GO:0006396","BP",1,"RNA processing",8,NA,4.79839200387969
"72","lightcyan",TRUE,1.06e-07,3594,524,194,0.37,0.054,"GO:0044249","BP",1,"cellular biosynthetic process",4,NA,2.26002154210205
"73","lightcyan",TRUE,2.22e-10,2786,524,169,0.323,0.061,"GO:0044271","BP",1,"cellular nitrogen compound biosynthetic process",5,NA,2.54664788713506
"74","lightcyan",TRUE,4.9e-09,2425,524,149,0.284,0.061,"GO:0018130","BP",1,"heterocycle biosynthetic process",5,NA,2.56828517800758
"75","lightcyan",TRUE,4.9e-09,2425,524,149,0.284,0.061,"GO:0019438","BP",1,"aromatic compound biosynthetic process",5,NA,2.56674600577821
"76","lightcyan",TRUE,1.38e-09,2387,524,149,0.284,0.062,"GO:0034654","BP",1,"nucleobase-containing compound biosynthetic process",6,NA,2.57850356696626
"77","lightcyan",TRUE,4.82e-10,2136,524,139,0.265,0.065,"GO:0032774","BP",1,"RNA biosynthetic process",7,NA,2.64709635843187
"78","lightcyan",TRUE,3.35e-10,2061,524,136,0.26,0.066,"GO:0097659","BP",1,"nucleic acid-templated transcription",8,NA,2.66288704433819
"79","lightcyan",TRUE,5.83e-12,2884,524,178,0.34,0.062,"GO:0034645","BP",1,"cellular macromolecule biosynthetic process",5,NA,2.45868228763876
"80","lightcyan",TRUE,3.56e-10,2041,524,135,0.258,0.066,"GO:0006351","BP",1,"transcription, DNA-templated",6,NA,2.670706224071
"81","lightcyan",TRUE,0.00799,1285,524,77,0.147,0.06,"GO:0006366","BP",1,"transcription from RNA polymerase II promoter",7,NA,3.36590328577239
"82","lightcyan",TRUE,3.61e-05,3918,524,197,0.376,0.05,"GO:0019222","BP",1,"regulation of metabolic process",3,NA,1.68277765754713
"83","lightcyan",TRUE,1.75e-06,3265,524,176,0.336,0.054,"GO:0080090","BP",1,"regulation of primary metabolic process",4,NA,2.00051681368826
"84","lightcyan",TRUE,7.89e-08,2263,524,138,0.263,0.061,"GO:0009889","BP",1,"regulation of biosynthetic process",4,NA,2.48299534775144
"85","lightcyan",TRUE,0.00692,894,524,59,0.113,0.066,"GO:0009890","BP",1,"negative regulation of biosynthetic process",5,NA,3.60507751736023
"86","lightcyan",TRUE,1.36e-07,3287,524,181,0.345,0.055,"GO:0060255","BP",1,"regulation of macromolecule metabolic process",4,NA,1.93529099605339
"87","lightcyan",TRUE,3.44e-09,2125,524,136,0.26,0.064,"GO:0010556","BP",1,"regulation of macromolecule biosynthetic process",5,NA,2.54966721310032
"88","lightcyan",TRUE,2.39e-08,2271,524,140,0.267,0.062,"GO:0010468","BP",1,"regulation of gene expression",5,NA,2.41889893281498
"89","lightcyan",TRUE,4e-09,2329,524,145,0.277,0.062,"GO:0051171","BP",1,"regulation of nitrogen compound metabolic process",4,NA,2.52252162385024
"90","lightcyan",TRUE,3.12e-05,3411,524,177,0.338,0.052,"GO:0031323","BP",1,"regulation of cellular metabolic process",4,NA,1.89332455605549
"91","lightcyan",TRUE,7.05e-08,2237,524,137,0.261,0.061,"GO:0031326","BP",1,"regulation of cellular biosynthetic process",5,NA,2.50965594931063
"92","lightcyan",TRUE,2.02e-08,2044,524,130,0.248,0.064,"GO:2000112","BP",1,"regulation of cellular macromolecule biosynthetic process",6,NA,2.61786123316354
"93","lightcyan",TRUE,0.00436,881,524,59,0.113,0.067,"GO:0031327","BP",1,"negative regulation of cellular biosynthetic process",6,NA,3.62881489562848
"94","lightcyan",TRUE,6.49e-08,2145,524,133,0.254,0.062,"GO:0019219","BP",1,"regulation of nucleobase-containing compound metabolic process",5,NA,2.54363765006364
"95","lightcyan",TRUE,2.37e-08,1961,524,126,0.24,0.064,"GO:0051252","BP",1,"regulation of RNA metabolic process",6,NA,2.64709635843187
"96","lightcyan",TRUE,1.34e-08,1880,524,123,0.235,0.065,"GO:2001141","BP",1,"regulation of RNA biosynthetic process",7,NA,2.70401950583149
"97","lightcyan",TRUE,3.09e-08,1860,524,121,0.231,0.065,"GO:1903506","BP",1,"regulation of nucleic acid-templated transcription",8,NA,2.71930869254579
"98","lightcyan",TRUE,1.19e-07,1833,524,118,0.225,0.064,"GO:0006355","BP",1,"regulation of transcription, DNA-templated",9,NA,2.72722240291115
"99","lightcyan",TRUE,0.00083,898,524,62,0.118,0.069,"GO:0051172","BP",1,"negative regulation of nitrogen compound metabolic process",1,NA,3.67618258445137
"100","lightcyan",TRUE,0.00067,832,524,59,0.113,0.071,"GO:0045934","BP",1,"negative regulation of nucleobase-containing compound metabolic process",2,NA,3.69691848293055
"101","lightcyan",TRUE,0.0161,1422,524,82,0.156,0.058,"GO:0010605","BP",1,"negative regulation of macromolecule metabolic process",1,NA,3.09651335406922
"102","lightcyan",TRUE,0.00142,851,524,59,0.113,0.069,"GO:0010558","BP",1,"negative regulation of macromolecule biosynthetic process",2,NA,3.67245818536039
"103","lightcyan",TRUE,0.000889,799,524,57,0.109,0.071,"GO:2000113","BP",1,"negative regulation of cellular macromolecule biosynthetic process",3,NA,3.74570864709998
"104","lightcyan",TRUE,0.00118,766,524,55,0.105,0.072,"GO:0051253","BP",1,"negative regulation of RNA metabolic process",2,NA,3.79280025463383
"105","lightcyan",TRUE,0.000985,742,524,54,0.103,0.073,"GO:1902679","BP",1,"negative regulation of RNA biosynthetic process",3,NA,3.83782393600779
"106","lightcyan",TRUE,0.000642,732,524,54,0.103,0.074,"GO:1903507","BP",1,"negative regulation of nucleic acid-templated transcription",4,NA,3.86449218308995
